SKU,Regular price,Sale price
100000001,35.09,34.20
100000002,36.12,27.79
100000003,47.83,36.79
100000004,46.50,45.54
100000005,94.14,92.21
100000006,35.22,31.08
100000007,27.19,25.85
100000008,55.73,52.83
100000010,54.23,50.50
100000011,105.43,95.95
100000012,138.94,106.88
100000014,40.79,40.47
100000015,51.65,50.83
100000016,40.79,40.47
100000018,109.41,84.17
100000019,94.55,84.17
100000020,33.02,29.39
100000021,25.01,19.24
100000022,64.48,55.44
100000023,97.98,75.82
100000024,28.44,20.25
100000025,106.17,62.84
100000026,25.42,19.68
100000027,52.07,40.98
100000028,24.52,19.97
100000029,52.10,40.08
100000032,159.43,122.64
100000033,27.49,25.74
100000034,24.77,21.11
100000035,64.95,49.96
100000036,28.48,26.05
100000037,53.22,48.71
100000038,142.41,109.55
100000039,41.62,33.81
100000040,79.91,68.75
100000041,118.22,103.69
100000042,29.16,19.43
100000043,101.45,92.72
100000044,79.72,61.32
100000045,159.43,122.64
100000046,82.84,75.01
100000047,22.67,22.43
100000048,77.81,59.85
100000049,32.54,24.05
100000050,62.13,49.23
100000051,207.65,192.18
100000052,49.12,44.89
100000053,34.78,32.08
100000054,36.32,27.94
100000055,63.05,41.41
100000056,123.58,75.78
100000057,13.11,12.62
100000058,37.39,35.05
100000059,207.65,190.76
100000060,87.23,67.10
100000061,96.13,75.75
100000062,71.38,65.35
100000063,38.01,34.73
100000064,90.31,69.47
100000065,27.17,24.84
100000066,63.86,49.12
100000067,24.77,20.94
100000068,46.22,42.96
100000069,32.60,25.08
100000070,30.94,28.27
100000071,83.36,64.13
100000072,13.74,10.57
100000073,23.85,21.13
100000074,26.17,23.30
100000075,83.88,64.53
100000076,56.24,43.26
100000077,95.95,73.81
100000078,42.40,38.82
100000079,14.82,13.13
100000080,31.96,24.59
100000081,39.95,30.73
100000082,79.89,61.45
100000083,35.19,27.07
100000084,29.24,23.01
100000085,48.95,47.14
100000086,33.30,26.45
100000089,45.71,35.16
100000090,25.99,19.32
100000091,21.53,21.32
100000092,52.74,29.37
100000093,55.08,42.37
100000094,20.43,16.70
100000095,37.93,33.40
100000096,51.80,40.08
100000097,18.41,13.64
100000098,18.41,15.73
100000099,23.29,17.92
100000100,32.84,29.88
100000101,49.17,37.82
100000102,18.19,17.34
100000103,23.24,19.22
100000104,43.15,39.34
100000105,32.13,24.72
100000106,15.03,13.05
100000107,17.30,14.60
100000108,11.94,11.21
100000109,19.98,18.17
100000110,29.96,27.25
100000111,23.87,18.36
100000112,48.80,37.54
100000113,27.61,21.24
100000114,169.85,130.66
100000115,125.05,96.19
100000116,148.95,138.67
100000117,29.57,26.32
100000118,64.09,49.30
100000119,119.49,91.91
100000120,30.24,25.86
100000121,70.35,65.39
100000122,90.73,79.84
100000124,40.47,31.13
100000125,71.50,61.15
100000126,24.14,18.57
100000127,40.64,37.14
100000128,29.19,26.72
100000129,59.97,54.89
100000130,29.76,27.54
100000131,37.17,28.59
100000132,30.01,25.23
100000133,55.80,52.45
100000134,35.82,32.73
100000135,85.10,65.46
100000136,127.65,98.19
100000137,23.16,18.68
100000138,36.20,35.35
100000139,54.28,52.02
100000140,24.75,19.04
100000141,32.31,29.58
100000142,44.11,33.93
100000143,83.02,63.86
100000144,14.36,11.90
100000145,26.28,15.48
100000146,63.72,59.32
100000147,26.85,24.58
100000148,42.87,33.74
100000149,51.37,47.03
100000150,18.24,16.70
100000151,25.18,15.48
100000152,27.09,20.84
100000153,54.19,41.68
100000154,80.76,62.12
100000155,29.18,22.44
100000156,26.88,20.68
100000157,42.55,32.73
100000158,27.75,21.35
100000159,27.41,25.05
100000160,30.02,26.72
100000161,33.35,25.65
100000162,23.24,15.69
100000163,27.44,21.11
100000164,22.28,17.14
100000165,26.05,20.04
100000166,22.95,21.11
100000167,54.88,42.22
100000168,82.32,63.32
100000169,29.45,18.33
100000170,23.36,17.97
100000171,17.16,13.31
100000172,29.09,22.38
100000173,34.91,26.85
100000174,67.21,51.70
100000175,99.52,76.55
100000176,24.44,22.33
100000177,48.88,44.66
100000178,23.33,21.30
100000179,23.33,20.29
100000180,30.51,24.23
100000182,40.84,37.38
100000183,32.11,28.20
100000184,62.52,48.09
100000186,66.00,50.77
100000187,29.52,18.57
100000188,16.21,9.63
100000189,56.15,34.81
100000190,85.38,65.68
100000191,42.69,32.84
100000192,57.14,43.95
100000193,48.80,40.75
100000194,97.60,81.50
100000195,31.69,24.38
100000196,29.65,26.43
100000197,31.40,30.15
100000198,66.00,50.77
100000199,218.83,168.33
100000200,34.51,28.39
100000201,70.03,57.91
100000202,64.19,49.38
100000204,23.12,20.44
100000205,57.50,47.27
100000206,45.32,34.86
100000207,92.10,70.84
100000208,138.88,106.83
100000209,33.59,26.94
100000210,44.81,39.88
100000211,28.19,24.72
100000212,42.38,32.60
100000213,28.29,27.39
100000214,142.41,109.55
100000215,53.65,47.75
100000216,17.16,14.77
100000217,28.90,22.23
100000218,55.19,42.46
100000219,41.68,32.06
100000220,74.39,57.22
100000221,83.36,64.13
100000222,37.22,28.63
100000223,38.98,33.29
100000224,29.60,22.77
100000225,77.60,59.69
100000226,42.22,38.33
100000227,56.27,43.28
100000228,114.73,88.25
100000229,17.71,15.92
100000230,32.54,31.83
100000231,35.95,34.47
100000232,69.26,68.94
100000233,134.42,103.40
100000234,31.03,28.35
100000235,72.35,55.65
100000236,110.58,85.06
100000237,28.67,23.94
100000238,62.35,49.01
100000239,76.94,74.07
100000240,59.25,54.24
