SKU,Regular price,Sale price
100000529,20.73,15.95
100000530,35.61,31.9
100000531,27.7,21.8
100000532,41.55,32.7
100000533,15.79,13.78
100000534,70.74,56.92
100000535,24.55,19.4
100000536,44.34,39.74
100000537,103.67,101.01
100000538,91.08,73.26
100000539,15.17,11.73
100000541,57.52,45.26
100000543,28.95,20.81
100000544,53.13,42.61
100000545,17.97,15.73
100000546,40.68,32.01
100000547,17.97,11.45
100000548,25.43,17.47
100000549,67.92,52.4
100000550,14.63,11.61
100000551,32.78,23.27
100000552,49.79,35.46
100000553,21.65,19.39
100000554,39.66,30.51
100000555,37.16,29.25
100000556,68.73,54.08
100000557,21.97,16.25
100000558,40.14,28.75
100000559,16.58,16.58
100000560,41.76,32.12
100000561,28.75,22.11
100000562,49.38,44.23
100000563,27.93,25.01
100000564,55.85,50.03
100000565,167.54,150.07
100000566,65.96,45.26
100000567,32.28,22.08
100000568,99.64,75.69
100000569,46.12,35.48
100000570,63.79,62.27
100000571,48.7,43.63
100000572,105.18,80.91
100000573,37.02,18.97
100000574,69.84,38.84
100000575,102.67,58.8
100000576,22.54,21.75
100000577,19.64,17.02
100000578,42.25,37.84
100000579,84.5,75.69
100000581,73.32,65.67
100000582,18.91,18.89
100000583,33.62,32.17
100000584,47.16,42.18
100000585,189.35,149.01
100000587,60.39,43.59
100000588,58.53,52.43
100000589,98.58,88.3
100000590,15.94,9.23
100000592,98.75,77.71
100000593,23.51,15.73
100000594,14.04,11
100000595,37.74,21.82
100000596,37.99,27.69
100000597,36.43,32.63
100000598,56.5,43.46
100000599,23.51,20.7
100000600,5.06,5.06
100000601,42.81,41.39
100000602,64.97,56.8
100000603,32.37,24.9
100000604,22.42,17.25
100000605,36.97,33.11
100000606,23.51,11.13
100000607,42.81,21.04
100000608,23.51,23.32
100000609,37.74,23.47
100000610,103.67,60.85
100000611,81.43,7.24
100000612,62.12,6.52
100000613,100.73,8
100000614,25.11,19.32
100000615,23.51,13.85
100000616,5.06,5.06
100000617,53.81,41.39
100000618,30.46,23.43
100000619,46.21,41.39
100000621,32.11,24.7
100000622,21.26,12.69
100000623,20.61,20.57
100000624,43.23,12.79
100000625,22.61,21.69
100000626,55.12,43.38
100000627,74.7,66.92
100000628,137.67,52.32
100000629,374.4,132
