SKU,Regular price,Sale price
100002108,35.6,29.55
100002109,76.62,60.29
100002110,21.7,16.69
100002111,36.31,27.79
100002112,67.84,50.79
100002113,99.37,75.04
100002114,27.28,16.56
100002115,50.37,33.11
100002116,31.06,27.6
100002117,35.06,27.59
100002118,57.33,56.3
100002119,12.88,12.88
100002120,23.17,22.08
100002121,53.48,42.08
100002122,86.09,66.23
100002123,67.77,60.71
100002124,26.71,20.81
100002125,79.3,40.09
100002126,126.23,99.34
100002127,44.34,29.8
100002128,51.23,39.4
100002129,68.41,61.27
100002130,64.69,57.95
100002132,46.82,34
100002133,18.05,16.3
100002134,105.88,81.45
100002135,84.69,65.15
100002136,18.05,12.48
100002137,31.91,25.17
100002138,45.75,38.31
100002139,30.14,23.18
100002140,38.92,30.63
100002141,143.31,110.24
100002142,43.05,33.11
100002143,14.03,13.19
100002144,56.11,44.15
100002145,8.4,8.4
100002146,36.52,24.72
100002147,68.84,48.35
100002148,101.15,73.08
100002149,27.52,21.17
100002150,11.83,11.83
100002151,47.27,42.34
100002152,78.31,70.14
100002153,20.15,17.63
100002155,43.9,37.71
100002156,83.62,75.43
100002157,18.88,16.68
100002158,33.56,29.32
100002159,42.6,33.53
100002160,49.97,39.32
100002161,72.71,65.12
100002162,40.88,37.22
100002163,27.37,25.39
100002164,22.9,21.63
100002165,67.31,60.29
100002166,24.51,17.8
100002167,53.13,31.75
100002168,77.3,39.87
100002170,22.49,22.41
100002171,39.94,30.38
100002172,145.43,108.56
100002174,92.69,59.19
100002175,20.62,13.13
100002176,37.02,24.48
100002177,69.84,45.41
100002178,50.54,35.73
100002179,32.25,13.37
100002180,59.72,27.05
100002181,31.15,21.15
100002182,57.53,41.31
100002185,33.15,25.5
100002187,105.2,94.23
100002188,29.37,17.38
100002189,32.25,27.15
100002190,26.35,19.82
100002191,48.52,40.62
100002192,10.27,8.07
100002193,22.45,20.56
100002194,53.45,41.12
100002195,80.17,61.67
100002196,51.5,36.96
100002197,15.79,15.49
100002198,67.92,51.9
100002199,42.81,30.35
100002200,62.12,52.43
100002201,33.14,26.08
100002202,25.97,19.97
100002203,24.96,22.35
100002204,34.08,26.21
100002206,46.53,24.7
100002208,32.2,26.98
100002210,36.65,15.97
100002212,47.01,43.74
100002213,78.34,61.65
100002214,27.37,26.49
100002215,37.31,28.7
100002216,36.59,28.15
100002217,47.77,44.82
100002218,21.65,21.12
100002219,70.27,55.3
100002220,29.42,28.21
100002221,110.12,86.66
100002222,72.94,57.4
100002223,36.05,26.08
100002224,45.71,45.53
100002226,53.63,41.25
100002227,25.43,20.56
100002228,46.68,41.12
100002229,25.19,21.94
100002230,28.95,23.18
100002231,32.2,27.32
100002232,60.19,54.64
100002233,34.26,26.35
100002234,41.97,40.7
100002235,66.63,52.43
100002236,33.13,33.13
100002237,152.53,120.03
100002238,39.82,30.63
100002239,68.88,52.98
100002240,103.31,79.47
100002241,45.4,35.73
100002242,24.47,13.66
100002243,44.74,27.32
100002244,20.3,15.62
100002245,35.46,31.77
100002246,53.82,48.21
100002247,37.73,29.69
100002248,28.33,20.38
100002249,60.09,46.22
100002250,75.91,59.74
100002251,196.04,154.71
100002252,21.66,19.4
100002253,67.16,60.16
100002254,44.37,39.74
100002255,28.4,21.85
100002256,58.23,44.8
100002257,63.47,49.95
100002258,131.49,103.48
100002259,27.7,26.48
100002260,36.82,28.97
100002261,30.29,23.3
100002262,37.99,28.84
100002263,18.68,17.25
100002264,12.98,12.89
100002265,51.48,39.6
100002266,37.97,29.21
100002267,21.72,16.71
100002269,24.47,13.66
100002270,25.72,19.79
100002271,28.95,24.23
100002272,26.4,24.49
100002273,119.75,66.09
100002274,91.81,82.23
100002275,33.16,19.18
100002276,18.68,11.49
100002277,62.12,38.36
100002278,20.06,19.93
100002279,48.36,38.05
100002280,20.63,15.87
100002281,16.65,11.92
100002282,41.56,26.08
100002283,29.1,20.56
100002284,37.74,24.7
100002285,18.68,10.64
100002286,33.16,21.17
100002287,22.54,17.6
100002288,40.88,35.19
100002289,54.47,40.98
100002290,25.99,25.99
100002291,33.72,25.94
100002292,29.71,26.61
100002293,49.77,38.28
100002294,39.29,35.73
100002295,40.2,31.46
100002296,28.67,21.97
100002297,53.51,40.67
100002298,15.74,12.42
100002299,20.22,18.16
100002300,49.33,38.82
100002301,17.71,12.41
100002302,31.06,23.91
100002303,44.74,29.24
100002304,46.82,28.75
100002305,88.86,58.59
100002306,130.91,88.44
100002307,106.95,84.16
100002308,28.33,22.93
100002309,20.99,16.56
100002310,31.39,24.14
100002311,26.96,24.14
100002312,85.38,67.19
100002313,5.12,5.12
100002314,115,8.83
100002315,96.54,8.15
100002316,78.07,7.36
100002317,22.66,13.8
100002318,5.24,5.12
100002319,31.91,23.73
100002320,59.6,48.57
100002321,87.3,73.41
100002322,31.91,20.7
100002323,59.6,41.39
100002324,26.96,24.14
100002325,31.39,24.14
100002326,33.36,25.66
100002327,48.06,43.05
100002328,22.66,12.05
100002329,78.07,43.46
100002330,27.28,21.69
100002331,28.33,21.69
100002332,28.33,21.69
100002333,29.27,26.21
100002334,38.5,34.49
100002335,18.05,7.69
100002336,12.59,12.59
100002337,26.9,20.7
100002338,30.8,27.59
100002339,103.46,92.67
100002340,41.85,27.76
100002341,60.67,41.64
100002342,30.05,26.9
100002343,30.22,21.25
100002344,56.69,43.6
100002345,85.75,65.96
100002347,31.91,20.82
100002348,31.91,31.91
100002349,22.66,18.25
100002350,22.66,13.8
100002351,7.89,6.49
100002352,26.35,19.45
100002353,15.94,12.59
100002354,26.35,24.14
100002355,17.12,14.96
100002356,18.15,2.82
100002357,10.65,9.18
100002358,58.47,42.14
100002359,95.8,73.69
100002360,22.66,11.58
100002361,41.13,22.08
100002362,92.69,47.3
100002363,48.73,27.2
100002364,75.64,39.82
100002365,22.3,20.95
100002366,41.57,31.98
100002367,16.56,16.32
100002368,39.82,30.63
100002369,87.48,67.29
100002370,58.84,37.84
100002371,140.98,110.94
100002372,40.67,32.01
100002373,6.69,6.69
100002374,53.91,48.29
100002375,100.92,72.46
100002377,42.36,37.94
100002378,309.33,277.08
100002379,53.91,48.29
100002380,59.6,41.25
100002381,22.66,17.4
100002382,59.6,53.84
100002383,54.06,39.58
100002384,31.91,16.21
100002385,59.6,28.33
100002386,59.72,27.46
100002387,106.95,84.16
100002388,46.82,41.39
100002389,88.86,82.78
100002390,46.82,24.83
100002391,88.86,49.67
100002392,130.91,74.5
100002393,31.91,15.04
100002394,20.82,20.56
100002395,53.45,41.12
100002396,80.17,61.67
100002397,27.7,24.14
100002398,14.66,11.7
100002399,11.17,11.05
100002400,15.29,15.29
100002401,23.51,14.43
100002402,42.81,26.9
100002403,23.51,16.89
100002404,5.12,5.09
100002405,29.8,23.46
100002406,35.77,28.15
100002407,23.84,18.76
100002408,21.97,20.17
100002409,23.51,19.32
100002410,33.27,29.81
100002411,42.81,29.69
100002412,81.43,60.49
100002413,120.04,91.29
100002414,35.87,27.59
100002415,572.94,440.73
100002416,9.79,9.79
100002417,19.35,18.76
100002419,37.99,18.35
100002420,71.78,37.53
100002421,221.83,198.7
100002422,110.3,98.8
100002423,30.81,27.6
100002424,33.16,19.18
100002425,62.12,41.12
100002426,120.04,82.23
100002427,56.37,38.62
100002428,62.12,38.49
100002429,37.74,30.34
100002430,47.57,36.59
100002431,30.8,27.59
100002432,18.68,13.82
100002433,33.16,29.78
100002434,62.12,53.91
100002435,33.16,21.56
100002436,91.08,60.75
100002437,56.98,44.84
100002438,23.46,14.38
100002439,31.06,29.81
100002440,57.93,46.36
100002441,23.89,23.89
100002442,24.47,15.94
100002444,43.48,34.22
100002445,57.34,44.11
100002446,29.71,26.6
100002447,37.78,37.78
100002448,20.52,16.98
100002449,35.28,34.64
100002450,92.85,83.17
100002451,70.17,53.97
100002452,47.28,42.36
100002453,60.18,22.3
100002454,91.19,69.1
100002455,60.39,45.7
100002456,60.38,54.08
100002457,25.25,19.08
100002458,125.53,98.79
100002459,188.3,148.18
100002460,125.53,98.79
100002461,36.59,28.15
100002462,42.72,42.63
100002463,23.24,23.24
100002464,58.91,46.36
100002465,87.64,68.97
100002466,25.88,20.76
100002467,52.99,42.61
100002468,60.97,21.52
100002469,36.8,32.96
100002470,34.01,22.85
100002471,26.04,24.18
100002472,62.84,49.45
100002473,31.04,24.56
100002474,24.28,24.11
100002475,49.79,49.32
100002476,66.63,52.43
100002479,79.5,59.17
100002480,61.45,42.1
100002481,26.75,15.94
100002482,48.73,32.45
100002483,32.29,24.83
100002484,25.43,19.08
100002485,18.69,14.38
100002486,39.94,29.81
100002487,39.94,24.55
100002488,42.08,33.11
100002489,24.47,17.38
100002490,33.16,30.22
100002491,41.97,40.7
100002492,67.47,60.43
100002494,82.72,63.63
100002495,142.07,127.25
100002496,27.37,21.42
100002497,50.54,43.94
100002498,73.7,66.45
100002499,27.8,21.39
100002501,43.03,33.1
100002502,103.25,27.74
100002503,179.64,58
100002504,46.06,41.25
100002507,52.81,47.3
100002508,27.37,20.97
100002509,73.7,65.13
100002510,50.54,43.05
100002511,66.24,59.33
100002512,28.2,21.25
100002513,31.91,13.43
100002514,36.97,33.11
100002515,28.54,23.62
100002516,32.2,27.44
100002517,60.19,54.87
100002518,88.19,77.2
100002519,46.46,41.62
100002520,19.64,18.35
100002521,36.2,32.42
100002522,23.51,20.76
