SKU,Regular price,Sale price
100001061,61.25,46.89
100001062,25.94,23.70
100001063,41.68,32.06
100001064,66.75,51.35
100001065,18.30,16.23
100001066,37.54,33.04
100001067,24.14,22.10
100001068,25.78,23.46
100001069,42.18,38.61
100001070,40.91,32.49
100001071,70.99,64.98
100001072,14.36,10.94
100001073,25.80,21.21
100001074,16.90,15.54
100001075,46.27,35.80
100001076,13.69,10.67
100001077,24.46,20.68
100001078,35.22,30.02
100001079,23.98,22.58
100001080,14.47,13.23
100001081,34.70,32.13
100001082,24.86,22.71
100001083,52.39,47.05
100001084,17.60,15.35
100001085,32.25,28.74
100001086,61.60,55.55
100001087,36.43,23.51
100001088,19.69,15.90
100001089,16.04,14.96
100001090,38.82,33.77
100001091,77.67,46.11
100001092,49.73,38.48
100001093,99.45,76.95
100001094,150.05,115.43
100001097,16.63,16.26
100001098,33.78,31.26
100001100,53.87,41.44
100001101,33.96,25.32
100001102,40.75,26.56
100001103,31.63,24.47
100001104,56.39,50.29
100001105,56.79,43.69
100001106,35.12,27.01
100001107,18.30,17.93
100001108,170.20,130.92
100001109,17.12,13.17
100001110,36.47,28.06
100001111,27.61,21.24
100001112,42.10,38.48
100001113,21.40,12.96
100001114,56.58,36.79
100001115,51.48,49.03
100001117,13.02,8.67
100001118,23.12,17.35
100001119,37.42,28.79
100001120,56.97,50.71
100001121,98.88,76.06
100001123,19.12,17.31
100001124,40.19,36.07
100001125,27.15,18.84
100001126,51.37,37.02
100001127,42.41,29.16
100001128,70.65,59.44
100001129,106.49,89.73
100001131,51.95,48.09
100001132,31.95,16.94
100001133,60.09,34.55
100001134,34.54,31.26
100001135,14.69,14.66
100001136,44.93,40.77
100001137,51.75,39.81
100001138,103.51,79.62
100001139,33.82,25.09
100001140,79.72,61.32
100001141,29.11,25.81
100001142,30.91,23.78
100001143,27.55,21.19
100001144,14.88,11.82
100001145,24.19,22.11
100001146,54.88,42.22
100001147,16.97,13.67
100001148,43.23,33.39
100001149,68.29,56.45
100001150,15.76,14.43
100001151,9.34,8.55
100001152,27.24,21.64
100001153,28.86,28.59
100001154,15.96,12.27
100001155,62.52,48.09
100001156,31.26,24.05
100001157,93.78,72.14
100001158,41.62,27.79
100001159,68.94,62.79
100001160,41.41,40.88
100001161,130.53,100.41
100001162,29.56,26.05
100001163,56.59,48.08
100001164,218.24,167.88
100001165,12.00,10.69
100001166,23.12,13.32
100001167,18.83,14.48
100001168,56.48,43.45
100001169,37.65,28.96
100001170,22.86,11.33
100001171,42.84,23.09
100001172,11.67,9.35
100001173,41.69,32.07
100001174,12.78,10.51
100001175,25.70,21.02
100001176,15.44,11.88
100001177,20.32,18.80
100001178,50.00,38.46
100001179,75.73,58.25
100001180,23.40,15.71
100001181,24.77,24.05
100001182,62.52,48.09
100001183,93.23,72.14
100001184,43.51,33.67
100001185,72.74,65.25
100001186,105.08,94.85
100001187,21.72,13.83
100001188,12.53,7.20
100001189,11.52,10.55
100001190,34.59,31.66
100001191,57.64,52.77
100001192,28.25,21.73
100001193,42.10,39.36
100001194,19.52,16.57
100001195,36.46,29.24
100001196,53.43,43.85
100001197,19.91,11.61
100001198,34.82,26.79
100001199,57.31,44.09
100001200,49.12,44.89
100001201,116.71,89.78
100001202,11.01,8.86
100001203,27.15,26.84
100001204,36.72,35.38
100001205,26.39,20.30
100001206,39.13,36.14
100001207,19.89,10.19
100001208,9.78,7.78
100001209,38.12,34.70
100001210,37.27,34.07
100001211,16.08,12.39
100001212,32.69,24.96
100001213,49.62,38.01
100001214,41.20,18.57
100001215,25.90,20.57
100001216,64.75,51.43
100001217,6.89,5.56
100001218,10.89,10.69
100001219,26.64,20.49
100001220,75.20,57.85
100001221,35.97,27.67
100001222,33.57,26.67
100001223,58.26,52.90
100001224,11.54,10.55
100001225,37.15,34.60
100001226,66.99,60.96
100001227,33.20,22.31
100001228,63.48,40.45
100001229,93.75,59.68
100001230,21.76,18.93
100001231,23.24,18.57
100001232,39.77,30.59
100001233,94.72,88.17
100001234,58.88,44.60
100001235,76.10,64.49
100001236,37.51,28.86
100001237,56.37,42.96
100001238,74.51,68.21
100001239,24.76,17.55
100001240,113.66,52.66
100001241,49.42,45.23
100001242,28.48,21.07
100001243,54.07,42.26
100001244,26.13,23.78
100001245,34.58,26.59
100001246,18.63,17.10
100001247,50.79,39.88
100001248,14.68,11.29
100001249,28.48,21.91
100001250,48.28,37.14
100001252,52.62,40.48
100001253,42.01,33.06
100001254,21.32,13.26
100001255,33.81,21.59
100001256,18.81,16.67
100001257,19.75,17.26
100001258,45.94,41.84
100001260,91.90,83.68
100001261,20.89,15.62
100001262,12.35,12.34
100001263,135.14,123.71
100001264,32.52,29.77
100001265,19.35,14.89
100001266,31.53,24.06
100001268,43.02,39.81
100001269,42.91,37.33
100001270,31.88,19.54
100001271,84.92,67.45
100001272,38.87,35.59
100001273,105.10,96.20
100001274,22.69,22.63
100001275,45.37,45.26
100001276,20.07,16.49
100001277,11.49,8.68
100001278,28.67,18.29
100001279,12.93,11.76
100001280,4.27,3.60
100001281,26.27,23.38
100001282,59.74,45.96
100001283,26.27,23.38
100001284,35.62,27.56
100001285,20.10,9.74
100001286,35.43,22.09
100001287,182.90,114.93
100001288,72.31,45.30
100001289,26.41,24.18
100001290,23.12,21.59
100001291,43.30,41.41
100001292,13.02,10.55
100001293,27.44,21.11
100001294,42.72,32.86
100001295,12.42,11.36
100001296,23.25,18.72
100001297,23.88,18.37
100001298,55.58,42.75
100001299,23.47,18.05
100001300,71.38,54.91
100001301,40.18,32.06
100001302,15.03,13.23
100001303,27.15,23.91
100001304,19.07,18.79
100001305,60.32,56.34
100001306,34.37,30.59
100001307,18.28,16.70
100001308,22.40,17.23
100001309,13.72,10.55
100001311,14.53,13.21
100001312,13.69,13.52
100001313,28.13,24.94
100001314,23.45,23.45
100001315,7.86,6.32
100001316,16.88,15.13
100001317,7.86,6.32
100001318,25.01,19.24
100001319,42.10,38.48
100001320,23.32,17.94
100001321,17.71,13.63
100001322,35.43,27.25
100001323,42.14,36.76
100001324,13.04,10.03
100001325,21.00,19.18
100001326,46.41,35.70
100001327,19.10,14.70
100001328,41.66,39.68
100001329,19.65,18.60
100001330,72.00,55.71
100001331,27.58,21.22
100001332,56.60,43.54
100001333,53.10,49.43
100001334,97.58,90.84
100001335,21.75,19.36
100001336,35.13,34.23
100001338,15.03,11.30
100001339,8.98,5.73
100001340,28.04,16.43
100001341,57.50,33.38
100001342,26.87,26.80
100001343,55.78,50.49
100001344,43.11,33.16
100001345,17.08,16.44
100001346,34.77,33.49
100001347,53.05,50.79
100001348,42.02,37.41
100001349,13.89,10.69
100001350,25.44,23.69
100001351,82.87,64.13
100001352,21.76,18.57
100001353,40.60,37.14
100001354,59.45,55.71
100001355,18.23,15.98
100001356,27.15,24.05
100001357,14.60,13.36
100001358,25.23,20.04
100001359,46.49,35.76
100001360,34.50,26.54
100001361,9.46,8.76
100001362,64.68,49.75
100001363,129.35,99.50
100001364,23.88,18.37
100001365,33.08,30.03
100001366,21.41,16.47
100001367,133.73,102.87
100001368,64.22,49.40
100001370,11.41,9.18
100001372,30.21,27.65
100001373,27.68,26.49
100001374,17.55,13.57
100001375,17.19,13.23
100001376,34.39,26.45
100001377,41.62,33.30
100001378,40.87,37.41
100001379,24.76,23.91
100001380,47.00,43.78
100001381,32.60,27.84
100001382,48.02,42.75
100001383,96.05,85.50
100001384,60.13,46.25
100001385,76.81,68.37
100001386,101.67,90.50
100001387,24.46,12.70
100001388,45.99,24.59
100001389,67.52,36.11
100001391,25.28,19.44
100001392,32.40,25.95
100001393,66.06,53.03
100001394,29.51,21.52
100001395,21.89,15.46
100001396,24.46,16.94
100001397,45.99,34.55
100001398,67.52,52.38
100001399,24.46,16.94
100001400,38.77,34.01
100001401,69.20,63.35
100001404,104.03,80.02
100001405,175.20,74.81
100001406,328.36,300.59
100001407,81.63,73.31
100001408,141.58,108.91
100001409,36.95,28.86
100001410,63.04,57.85
100001411,25.28,19.44
100001412,27.29,24.84
100001414,67.09,51.61
100001415,17.70,16.57
100001416,64.61,49.70
100001417,42.41,32.62
100001418,42.43,32.64
100001420,37.67,27.66
100001421,64.33,56.45
100001422,23.16,17.63
100001423,42.51,36.61
100001424,17.80,13.72
100001425,33.05,27.44
100001426,63.06,54.88
100001427,40.81,31.39
100001428,50.85,49.43
100001429,31.11,24.72
100001430,74.53,74.15
100001431,40.87,37.41
100001432,69.94,69.47
100001433,48.86,36.59
100001434,7.17,5.97
100001435,26.80,24.02
100001436,62.59,47.99
100001437,126.34,97.11
100001438,30.71,23.44
100001439,31.29,29.24
100001440,21.36,16.43
100001441,25.05,11.82
100001442,73.12,56.24
100001443,46.37,35.67
100001444,14.24,9.04
100001445,25.94,20.37
100001446,43.30,18.60
100001447,37.64,21.71
100001448,55.18,31.73
100001449,27.56,25.65
100001450,31.74,20.25
100001451,52.53,48.09
100001453,13.36,10.08
100001454,52.10,40.08
100001455,29.94,27.36
100001456,8.89,6.84
100001457,20.10,13.36
100001458,32.85,31.80
100001459,92.63,81.23
100001460,38.98,25.37
100001461,79.25,61.32
100001462,19.54,15.03
100001463,42.55,32.73
100001464,85.10,65.46
100001465,127.65,98.19
100001466,26.92,20.71
100001467,37.08,32.85
100001468,16.21,13.97
100001469,29.52,21.38
100001470,36.66,28.20
100001471,33.62,28.38
100001473,35.41,27.24
100001474,27.61,21.24
100001475,45.92,40.88
100001476,33.87,26.05
100001477,67.73,52.10
100001480,30.19,20.04
100001481,56.58,40.08
100001482,39.68,30.53
100001483,19.19,14.76
100001484,31.53,29.28
100001485,66.65,59.69
100001487,47.80,36.77
100001488,16.99,13.07
100001489,33.95,26.12
100001490,57.94,44.57
100001491,39.27,30.21
100001492,30.51,19.75
100001493,22.58,20.27
100001494,39.54,30.42
100001495,30.58,24.06
100001496,39.72,31.26
100001497,18.46,17.69
100001498,38.65,35.38
100001499,46.72,35.94
100001500,32.16,24.74
100001501,62.18,47.83
100001502,60.09,46.22
100001503,51.58,39.68
100001504,31.09,23.91
100001505,22.40,17.23
100001506,14.88,14.88
100001507,38.84,28.50
100001508,26.87,19.00
100001510,15.27,11.74
100001511,29.82,22.94
100001512,16.78,13.50
100001513,34.09,27.30
100001514,51.75,41.52
100001515,35.09,27.63
100001518,27.79,21.38
100001519,41.07,31.60
100001520,9.15,7.36
100001521,27.50,22.12
100001522,20.90,19.80
100001523,49.60,45.40
100001524,57.20,52.37
100001525,85.80,78.55
100001526,29.78,19.47
100001527,44.49,40.65
100001528,14.87,11.95
100001529,25.80,24.34
100001530,45.54,37.09
100001531,19.01,17.41
100001532,14.80,11.38
100001533,24.18,22.10
100001534,11.98,9.22
100001535,19.21,17.10
100001536,27.10,26.32
100001537,13.63,12.60
100001538,29.60,22.77
100001539,30.65,28.06
100001540,61.29,56.11
100001541,36.55,28.11
100001542,66.69,51.30
100001543,74.56,57.35
100001544,22.47,14.95
100001545,41.62,30.34
100001546,60.77,46.07
100001547,63.72,58.33
100001548,69.45,64.66
100001549,38.06,34.79
100001550,20.43,14.55
100001551,37.93,26.72
100001552,31.71,25.19
100001553,14.65,11.34
100001554,11.68,8.24
100001555,28.67,17.87
100001556,47.20,36.50
100001557,32.90,25.31
100001558,21.75,19.36
100001559,12.50,9.62
100001560,18.33,14.10
100001561,30.87,28.56
100001562,62.44,48.03
100001563,92.26,89.67
100001564,34.91,27.47
100001567,28.60,26.18
100001568,123.11,65.41
100001569,50.74,46.37
100001570,37.86,29.12
100001571,19.10,14.70
100001572,35.27,27.13
100001573,70.55,54.27
100001574,23.12,19.71
100001575,43.30,37.65
100001576,31.15,28.51
100001577,32.60,27.84
100001578,17.71,12.86
100001579,32.54,25.95
100001580,55.59,39.49
100001581,98.55,88.90
100001582,51.77,46.08
100001583,43.45,39.34
100001584,65.80,59.57
100001585,21.22,19.22
100001587,31.88,29.15
100001588,17.71,13.13
100001589,32.54,26.52
