SKU,Regular price,Sale price
100000001,  42.60 ,  38.16 
100000002,  35.09 ,  28.70 
100000003,  49.40 ,  38.00 
100000004,  56.81 ,  44.71 
100000005,  115.03 ,  90.52 
100000006,  50.54 ,  29.88 
100000007,  31.22 ,  29.57 
100000008,  78.33 ,  60.25 
100000010,  66.27 ,  52.15 
100000011,  128.82 ,  99.09 
100000012,  140.26 ,  110.38 
100000014,  49.83 ,  41.21 
100000015,  59.72 ,  56.17 
100000016,  49.83 ,  41.21 
100000018,  110.46 ,  86.92 
100000019,  58.39 ,  45.94 
100000020,  40.88 ,  30.35 
100000021,  31.15 ,  31.15 
100000022,  67.22 ,  52.90 
100000023,  77.13 ,  60.70 
100000024,  35.54 ,  26.60 
100000025,  97.08 ,  82.02 
100000026,  26.40 ,  19.63 
100000027,  52.29 ,  40.23 
100000028,  24.26 ,  19.09 
100000029,  53.81 ,  41.39 
100000032,  160.95 ,  126.66 
100000033,  33.58 ,  25.86 
100000034,  35.54 ,  21.94 
100000035,  67.97 ,  51.60 
100000036,  40.88 ,  37.37 
100000037,  50.93 ,  50.30 
100000038,  143.77 ,  113.14 
100000039,  59.72 ,  33.19 
100000040,  114.66 ,  67.49 
100000041,  169.61 ,  101.79 
100000042,  41.85 ,  24.53 
100000043,  122.03 ,  95.75 
100000044,  70.70 ,  63.33 
100000045,  141.40 ,  126.66 
100000046,  82.20 ,  73.63 
100000047,  31.86 ,  24.51 
100000048,  80.35 ,  61.81 
100000049,  46.68 ,  28.91 
100000050,  89.15 ,  58.93 
100000051,  253.70 ,  199.64 
100000052,  58.91 ,  46.36 
100000053,  43.48 ,  34.22 
100000054,  37.51 ,  28.86 
100000055,  104.08 ,  42.77 
100000056,  203.97 ,  78.26 
100000057,  13.70 ,  13.68 
100000058,  45.68 ,  35.14 
100000059,  253.70 ,  199.64 
100000060,  79.74 ,  69.30 
100000061,  158.66 ,  78.23 
100000062,  87.21 ,  68.19 
100000063,  46.63 ,  35.87 
100000064,  80.10 ,  71.74 
