Z,Regular price,Sale price
100002017,  52.10 ,  40.08 
100002018,  22.66 ,  16.90 
100002019,  29.30 ,  26.37 
100002020,  96.86 ,  74.50 
100002021,  99.17 ,  88.83 
100002022,  105.78 ,  51.90 
100002024,  44.72 ,  39.32 
100002025,  13.85 ,  13.74 
100002026,  15.74 ,  13.65 
100002027,  35.48 ,  27.29 
100002030,  74.86 ,  68.44 
100002035,  36.51 ,  28.09 
100002036,  23.69 ,  15.27 
100002037,  25.69 ,  15.59 
100002039,  40.29 ,  32.52 
100002040,  142.72 ,  76.94 
100002041,  59.60 ,  29.92 
100002042,  33.44 ,  25.72 
100002043,  88.61 ,  79.37 
100002044,  178.45 ,  159.84 
100002045,  24.97 ,  19.21 
100002046,  28.65 ,  28.65 
100002047,  24.43 ,  18.79 
100002050,  30.80 ,  27.59 
100002051,  32.35 ,  28.97 
100002052,  55.45 ,  49.67 
100002053,  23.59 ,  11.94 
100002054,  42.98 ,  23.30 
100002055,  55.90 ,  34.49 
100002058,  19.90 ,  15.82 
100002059,  35.60 ,  32.21 
100002060,  22.87 ,  17.59 
100002061,  38.01 ,  34.04 
100002062,  27.28 ,  12.41 
100002063,  50.37 ,  24.56 
100002065,  26.35 ,  14.12 
100002066,  48.52 ,  26.47 
100002067,  70.68 ,  40.59 
100002068,  12.69 ,  10.88 
100002069,  21.81 ,  16.78 
100002070,  27.28 ,  22.64 
100002071,  18.64 ,  14.34 
100002072,  28.95 ,  17.74 
100002074,  31.06 ,  29.10 
100002076,  18.05 ,  17.84 
100002077,  45.36 ,  36.45 
100002078,  36.52 ,  27.03 
100002079,  36.52 ,  30.24 
100002080,  61.37 ,  48.29 
100002081,  25.11 ,  19.32 
100002082,  43.13 ,  38.63 
100002083,  28.75 ,  22.11 
100002084,  50.67 ,  45.39 
100002085,  17.76 ,  13.66 
100002086,  30.50 ,  27.32 
100002087,  45.75 ,  40.98 
100002089,  20.82 ,  16.51 
100002093,  49.30 ,  44.15 
100002094,  59.72 ,  25.39 
100002095,  23.59 ,  20.88 
100002096,  23.51 ,  20.14 
100002097,  18.64 ,  14.34 
100002098,  31.06 ,  10.08 
100002099,  76.99 ,  68.96 
100002100,  27.80 ,  21.39 
100002101,  85.91 ,  67.61 
100002102,  40.89 ,  31.46 
100002103,  62.12 ,  44.08 
100002104,  21.83 ,  14.27 
100002105,  24.85 ,  24.85 
100002106,  19.90 ,  16.56 
100002107,  20.62 ,  16.56 
100002108,  35.60 ,  29.55 
100002109,  76.62 ,  60.29 
100002110,  21.70 ,  16.69 
100002111,  36.31 ,  27.79 
100002112,  67.84 ,  50.79 
100002113,  99.37 ,  75.04 
100002114,  27.28 ,  16.56 
100002115,  50.37 ,  33.11 
100002116,  31.06 ,  27.60 
100002117,  35.06 ,  27.59 
100002118,  57.33 ,  56.30 
100002119,  12.88 ,  12.88 
100002122,  86.09 ,  66.23 
100002123,  67.77 ,  60.71 
100002125,  79.30 ,  74.62 
100002127,  44.34 ,  29.80 
100002128,  51.23 ,  39.40 
100002130,  64.69 ,  57.95 
100002132,  46.82 ,  34.00 
100002133,  18.05 ,  16.30 
100002134,  105.88 ,  81.45 
100002135,  84.69 ,  65.15 
100002136,  18.05 ,  12.48 
100002137,  31.91 ,  25.17 
100002138,  45.75 ,  38.31 
100002139,  30.14 ,  23.18 
100002140,  38.92 ,  30.63 
100002141,  143.31 ,  110.24 
100002142,  43.05 ,  33.11 
100002144,  56.11 ,  44.15 
100002145,  8.40 ,  8.40 
100002146,  36.52 ,  24.72 
100002150,  11.83 ,  11.83 
100002153,  20.15 ,  17.63 
100002155,  43.90 ,  37.71 
100002156,  83.62 ,  75.43 
100002157,  18.88 ,  16.68 
100002158,  33.56 ,  29.32 
100002159,  42.60 ,  33.53 
100002160,  49.97 ,  39.32 
100002162,  40.88 ,  37.22 
100002163,  27.37 ,  25.39 
100002165,  67.31 ,  60.29 
100002166,  24.51 ,  17.80 
100002167,  53.13 ,  31.75 
100002168,  77.30 ,  39.87 
100002171,  39.94 ,  30.38 
100002174,  92.69 ,  59.19 
100002175,  20.62 ,  13.13 
100002176,  37.02 ,  24.48 
100002177,  69.84 ,  45.41 
100002178,  50.54 ,  35.73 
100002179,  32.25 ,  13.37 
100002180,  59.72 ,  27.05 
100002181,  31.15 ,  21.15 
100002182,  57.53 ,  41.31 
100002185,  33.15 ,  25.50 
100002187,  105.20 ,  94.23 
100002188,  29.37 ,  17.38 
100002189,  32.25 ,  27.15 
100002190,  26.35 ,  19.82 
100002191,  48.52 ,  40.62 
100002192,  10.27 ,  8.07 
100002193,  22.45 ,  20.56 
100002194,  53.45 ,  41.12 
100002195,  80.17 ,  61.67 
100002196,  51.50 ,  36.96 
100002197,  15.79 ,  15.49 
100002198,  67.92 ,  51.90 
100002199,  42.81 ,  30.35 
100002200,  62.12 ,  52.43 
100002202,  25.97 ,  19.97 
100002203,  24.96 ,  22.35 
100002204,  34.08 ,  26.21 
100002206,  46.53 ,  24.70 
100002208,  32.20 ,  26.98 
100002210,  36.65 ,  15.97 
100002212,  47.01 ,  43.74 
100002214,  27.37 ,  26.49 
100002215,  37.31 ,  28.70 
100002216,  36.59 ,  28.15 
100002218,  21.65 ,  21.12 
100002220,  29.42 ,  28.21 
100002223,  36.05 ,  26.08 
100002224,  45.71 ,  45.53 
100002226,  53.63 ,  41.25 
100002227,  25.43 ,  20.56 
100002228,  46.68 ,  41.12 
100002229,  25.19 ,  21.94 
100002230,  28.95 ,  23.18 
100002231,  32.20 ,  27.32 
100002232,  60.19 ,  54.64 
100002233,  34.26 ,  26.35 
100002235,  66.63 ,  52.43 
100002236,  33.13 ,  33.13 
100002237,  152.53 ,  120.03 
100002238,  39.82 ,  30.63 
100002239,  68.88 ,  52.98 
100002240,  103.31 ,  79.47 
100002241,  45.40 ,  35.73 
100002242,  24.47 ,  13.66 
100002243,  44.74 ,  27.32 
100002244,  20.30 ,  15.62 
100002245,  35.46 ,  31.77 
100002246,  53.82 ,  48.21 
100002247,  37.73 ,  29.69 
100002248,  28.33 ,  20.38 
100002255,  28.40 ,  21.85 
100002256,  58.23 ,  44.80 
100002259,  27.70 ,  22.74 
100002260,  36.82 ,  28.97 
100002261,  35.33 ,  27.18 
100002262,  37.99 ,  28.84 
100002263,  18.68 ,  17.25 
100002264,  12.98 ,  12.89 
100002265,  51.48 ,  39.60 
100002266,  37.97 ,  29.21 
100002267,  21.72 ,  16.71 
100002269,  24.47 ,  13.66 
100002271,  28.95 ,  24.23 
100002272,  26.40 ,  24.49 
100002274,  91.81 ,  82.23 
100002275,  33.16 ,  19.18 
100002276,  18.68 ,  11.49 
100002277,  62.12 ,  38.36 
100002278,  20.06 ,  19.93 
100002280,  20.63 ,  15.87 
100002281,  16.65 ,  11.92 
100002282,  41.56 ,  26.08 
100002283,  29.10 ,  20.56 
100002284,  37.74 ,  24.70 
100002285,  18.68 ,  10.64 
100002286,  33.16 ,  21.17 
100002287,  22.54 ,  17.60 
100002288,  40.88 ,  35.19 
100002290,  25.99 ,  25.99 
100002291,  33.72 ,  25.94 
100002292,  29.71 ,  26.61 
100002293,  49.77 ,  38.28 
100002295,  40.20 ,  31.46 
100002296,  28.67 ,  21.97 
100002297,  53.51 ,  40.67 
100002298,  15.74 ,  12.42 
100002301,  17.71 ,  12.41 
100002302,  31.06 ,  23.91 
100002303,  44.74 ,  29.24 
100002304,  46.82 ,  28.75 
100002305,  88.86 ,  58.59 
100002308,  28.33 ,  22.93 
100002309,  20.99 ,  16.56 
100002310,  31.39 ,  24.14 
100002311,  26.96 ,  24.14 
100002313,  5.12 ,  5.12 
100002314,  115.00 ,  8.83 
100002315,  96.54 ,  8.15 
100002316,  78.07 ,  7.36 
100002317,  22.66 ,  13.80 
100002318,  5.24 ,  5.12 
100002319,  31.91 ,  25.87 
100002320,  59.60 ,  51.74 
100002321,  87.30 ,  77.61 
100002322,  31.91 ,  20.70 
100002323,  59.60 ,  41.39 
100002324,  26.96 ,  24.14 
100002325,  31.39 ,  24.14 
100002326,  33.36 ,  25.66 
100002328,  22.66 ,  12.05 
100002329,  78.07 ,  43.46 
100002330,  27.28 ,  21.69 
100002331,  28.33 ,  21.69 
100002332,  28.33 ,  21.69 
100002333,  29.27 ,  26.21 
100002334,  38.50 ,  34.49 
100002335,  18.05 ,  7.69 
100002336,  12.59 ,  12.59 
100002337,  26.90 ,  20.70 
100002338,  30.80 ,  27.59 
100002339,  103.46 ,  79.58 
100002340,  41.85 ,  27.76 
100002342,  30.05 ,  26.90 
100002343,  30.22 ,  21.25 
100002344,  56.69 ,  43.60 
100002345,  85.75 ,  65.96 
100002347,  31.91 ,  20.82 
100002348,  31.91 ,  31.91 
100002349,  22.66 ,  18.25 
100002350,  22.66 ,  13.80 
100002351,  7.89 ,  6.49 
100002352,  26.35 ,  19.45 
100002353,  15.94 ,  12.59 
100002354,  26.35 ,  24.14 
100002355,  17.12 ,  14.96 
100002356,  18.15 ,  2.82 
100002357,  10.65 ,  9.18 
100002358,  58.47 ,  42.14 
100002359,  95.80 ,  73.69 
100002360,  22.66 ,  11.58 
100002361,  41.13 ,  22.08 
100002362,  92.69 ,  47.30 
100002363,  48.73 ,  27.20 
100002364,  75.64 ,  39.82 
100002367,  16.56 ,  16.32 
100002368,  39.82 ,  30.63 
100002372,  40.67 ,  32.01 
100002374,  53.91 ,  48.29 
100002377,  42.36 ,  37.94 
100002379,  53.91 ,  48.29 
100002380,  59.60 ,  41.25 
100002381,  22.66 ,  17.40 
100002382,  59.60 ,  53.84 
100002384,  31.91 ,  16.21 
100002385,  59.60 ,  28.33 
100002386,  59.72 ,  27.46 
100002388,  46.82 ,  41.39 
100002389,  88.86 ,  82.78 
100002390,  46.82 ,  24.83 
100002391,  88.86 ,  49.67 
100002393,  31.91 ,  15.04 
100002394,  20.82 ,  20.56 
100002395,  53.45 ,  41.12 
100002396,  80.17 ,  61.67 
100002397,  27.70 ,  24.14 
100002398,  14.66 ,  11.70 
100002401,  23.51 ,  14.43 
100002402,  42.81 ,  26.90 
100002403,  23.51 ,  16.89 
100002404,  5.12 ,  5.09 
100002405,  29.80 ,  23.46 
100002406,  35.77 ,  28.15 
100002407,  23.84 ,  18.76 
100002408,  21.97 ,  20.17 
100002409,  23.51 ,  19.32 
100002410,  33.27 ,  29.81 
100002411,  42.81 ,  29.69 
100002412,  81.43 ,  60.49 
100002413,  120.04 ,  91.29 
100002414,  35.87 ,  27.59 
100002419,  37.99 ,  18.35 
100002420,  71.78 ,  37.53 
100002421,  221.83 ,  198.70 
100002422,  110.30 ,  98.80 
100002423,  30.81 ,  27.60 
100002424,  33.16 ,  19.18 
100002425,  62.12 ,  41.12 
100002426,  120.04 ,  82.23 
100002428,  62.12 ,  38.49 
100002429,  37.74 ,  30.34 
100002430,  47.57 ,  36.59 
100002431,  30.80 ,  27.59 
100002432,  18.68 ,  13.82 
100002433,  33.16 ,  29.78 
100002434,  62.12 ,  53.91 
100002435,  33.16 ,  21.56 
100002436,  91.08 ,  60.75 
100002437,  56.98 ,  44.84 
100002438,  23.46 ,  14.38 
100002439,  31.06 ,  29.81 
100002441,  23.89 ,  23.89 
100002442,  24.47 ,  15.94 
100002444,  43.48 ,  34.22 
100002445,  57.34 ,  44.11 
100002446,  29.71 ,  26.60 
100002447,  37.78 ,  37.78 
100002448,  20.52 ,  16.98 
100002449,  35.28 ,  34.64 
100002450,  92.85 ,  83.17 
100002451,  70.17 ,  53.97 
100002452,  47.28 ,  42.36 
100002453,  60.18 ,  22.30 
100002454,  91.19 ,  69.10 
100002455,  60.39 ,  45.70 
100002456,  60.38 ,  54.08 
100002461,  36.59 ,  28.15 
100002462,  42.72 ,  42.63 
100002463,  23.24 ,  23.24 
100002464,  58.91 ,  46.36 
100002466,  25.88 ,  20.76 
100002467,  52.99 ,  42.61 
100002468,  60.97 ,  21.52 
100002469,  36.80 ,  32.96 
100002472,  62.84 ,  49.45 
100002473,  31.04 ,  24.56 
100002474,  24.28 ,  24.11 
100002475,  49.79 ,  49.32 
100002476,  66.63 ,  52.43 
100002479,  79.50 ,  59.17 
100002481,  26.75 ,  15.94 
100002482,  48.73 ,  32.45 
100002483,  32.29 ,  24.83 
100002484,  25.43 ,  19.08 
100002485,  18.69 ,  14.38 
100002486,  39.94 ,  29.81 
100002487,  39.94 ,  24.55 
100002488,  42.08 ,  33.11 
100002489,  24.47 ,  17.38 
100002490,  33.16 ,  30.22 
100002492,  67.47 ,  60.43 
100002494,  82.72 ,  63.63 
100002495,  142.07 ,  127.25 
100002496,  27.37 ,  21.42 
100002497,  50.54 ,  43.94 
100002498,  73.70 ,  66.45 
100002499,  27.80 ,  21.39 
100002501,  43.03 ,  33.10 
100002502,  103.25 ,  27.74 
100002503,  179.64 ,  58.00 
100002504,  46.06 ,  41.25 
100002507,  52.81 ,  47.30 
100002508,  27.37 ,  20.97 
100002509,  73.70 ,  65.13 
100002510,  50.54 ,  43.05 
100002512,  28.20 ,  21.25 
100002513,  31.91 ,  13.43 
100002514,  36.97 ,  33.11 
100002515,  28.54 ,  23.62 
100002516,  32.20 ,  27.44 
100002517,  60.19 ,  54.87 
100002518,  88.19 ,  77.20 
100002520,  19.64 ,  18.35 
100002521,  36.20 ,  32.42 
100002522,  23.51 ,  20.76 
100002523,  42.81 ,  42.61 
100002524,  83.81 ,  64.47 
100002525,  33.90 ,  26.08 
100002527,  55.90 ,  43.00 
100002530,  52.88 ,  33.11 
100002531,  72.20 ,  48.29 
100002532,  100.73 ,  70.37 
100002533,  97.84 ,  63.47 
100002534,  38.97 ,  34.91 
100002535,  32.20 ,  28.84 
100002538,  19.17 ,  15.13 
100002539,  22.91 ,  15.18 
100002540,  34.12 ,  26.70 
100002541,  38.62 ,  19.18 
100002542,  57.09 ,  34.26 
100002544,  90.49 ,  68.71 
100002545,  25.43 ,  24.28 
100002548,  61.31 ,  54.91 
100002551,  61.13 ,  47.02 
100002552,  33.16 ,  21.92 
100002553,  51.39 ,  51.39 
100002554,  50.93 ,  46.07 
100002555,  96.43 ,  75.88 
100002556,  35.09 ,  27.79 
100002557,  65.98 ,  55.58 
100002558,  25.43 ,  19.51 
100002559,  36.05 ,  34.30 
100002561,  66.31 ,  49.20 
100002562,  76.86 ,  68.85 
100002563,  114.66 ,  63.47 
100002564,  114.66 ,  64.85 
100002566,  24.47 ,  24.14 
100002567,  27.26 ,  24.42 
100002568,  24.57 ,  18.90 
100002570,  32.29 ,  24.83 
100002574,  58.92 ,  52.77 
100002575,  25.53 ,  20.76 
100002579,  89.15 ,  48.18 
100002580,  46.68 ,  24.09 
100002581,  37.02 ,  36.07 
100002582,  69.78 ,  54.91 
100002586,  30.44 ,  27.27 
100002587,  72.20 ,  43.76 
100002588,  130.12 ,  82.19 
100002589,  50.54 ,  23.65 
100002590,  41.85 ,  41.85 
100002593,  33.16 ,  18.90 
100002594,  62.12 ,  33.61 
100002597,  35.36 ,  27.20 
100002598,  61.50 ,  47.30 
100002600,  23.02 ,  12.39 
100002601,  41.85 ,  22.74 
100002603,  70.73 ,  63.35 
100002604,  38.22 ,  29.57 
100002607,  139.35 ,  107.78 
100002608,  69.18 ,  53.22 
100002609,  50.17 ,  44.94 
100002610,  23.02 ,  15.96 
100002613,  36.05 ,  34.23 
100002615,  35.09 ,  26.49 
100002616,  65.98 ,  54.09 
100002617,  127.77 ,  109.29 
100002618,  24.47 ,  21.94 
100002619,  58.11 ,  44.70 
100002620,  45.60 ,  24.06 
100002621,  73.70 ,  67.05 
100002623,  43.90 ,  39.32 
100002624,  36.77 ,  28.28 
100002625,  13.75 ,  13.75 
100002626,  43.66 ,  36.56 
100002627,  81.43 ,  55.74 
100002628,  37.74 ,  25.39 
100002629,  70.71 ,  51.88 
100002630,  62.12 ,  59.60 
100002631,  120.04 ,  119.21 
100002634,  43.96 ,  43.46 
100002635,  34.12 ,  23.53 
100002636,  64.05 ,  47.07 
100002637,  93.98 ,  70.60 
100002638,  32.20 ,  20.09 
100002639,  60.19 ,  40.18 
100002640,  48.61 ,  28.56 
100002641,  20.07 ,  19.11 
100002642,  29.98 ,  23.06 
100002644,  47.34 ,  37.25 
100002645,  35.54 ,  22.04 
100002646,  66.31 ,  45.19 
100002647,  39.94 ,  33.11 
100002648,  53.13 ,  41.81 
100002650,  32.25 ,  18.65 
100002651,  158.62 ,  140.66 
100002652,  37.02 ,  16.08 
100002655,  27.37 ,  19.11 
100002656,  50.54 ,  36.29 
100002657,  73.70 ,  53.46 
100002658,  31.22 ,  22.47 
100002659,  54.22 ,  52.01 
100002662,  47.24 ,  45.93 
100002664,  32.91 ,  30.22 
100002665,  27.37 ,  24.73 
100002668,  39.91 ,  28.48 
100002669,  64.82 ,  58.06 
100002670,  39.94 ,  33.11 
100002671,  30.05 ,  23.80 
100002672,  46.82 ,  44.60 
100002673,  35.24 ,  26.60 
100002674,  25.43 ,  24.14 
