Z,Regular price,Sale price
100002675,  23.10 ,  20.70 
100002676,  51.30 ,  45.94 
100002677,  50.83 ,  45.53 
100002678,  92.42 ,  82.78 
100002679,  26.40 ,  19.18 
100002680,  48.61 ,  37.32 
100002681,  35.09 ,  29.36 
100002682,  65.98 ,  59.83 
100002683,  23.51 ,  16.31 
100002685,  42.81 ,  30.51 
100002686,  26.40 ,  21.33 
100002687,  44.49 ,  34.22 
100002688,  49.04 ,  37.73 
100002689,  28.82 ,  22.49 
100002690,  66.66 ,  58.09 
100002691,  27.37 ,  19.82 
100002693,  32.25 ,  25.17 
100002694,  37.02 ,  30.49 
100002695,  69.84 ,  62.08 
100002696,  27.37 ,  24.83 
100002697,  50.54 ,  49.67 
100002698,  96.86 ,  74.50 
100002699,  35.09 ,  16.94 
100002700,  65.98 ,  29.68 
100002701,  28.48 ,  21.91 
100002702,  46.21 ,  41.39 
100002703,  47.53 ,  36.56 
100002704,  117.07 ,  104.86 
100002705,  78.94 ,  70.71 
100002706,  28.33 ,  18.45 
100002707,  52.46 ,  36.90 
100002709,  98.42 ,  75.71 
100002710,  17.71 ,  16.35 
100002711,  38.50 ,  34.49 
100002712,  59.87 ,  53.63 
100002713,  86.09 ,  77.11 
100002714,  32.29 ,  24.83 
100002716,  34.56 ,  27.20 
100002719,  29.33 ,  26.27 
100002720,  78.07 ,  60.28 
100002721,  30.14 ,  23.18 
100002722,  12.88 ,  10.64 
100002723,  21.57 ,  21.29 
100002725,  36.82 ,  35.99 
100002726,  70.89 ,  54.53 
100002727,  27.17 ,  19.44 
100002731,  31.13 ,  23.95 
100002732,  24.71 ,  22.14 
100002733,  26.75 ,  22.08 
100002734,  30.14 ,  23.18 
100002736,  34.12 ,  19.51 
100002738,  16.86 ,  16.36 
100002739,  24.55 ,  23.95 
100002742,  42.36 ,  33.34 
100002743,  27.26 ,  20.97 
100002744,  36.05 ,  32.05 
100002745,  51.99 ,  48.08 
100002746,  92.07 ,  66.75 
100002747,  133.24 ,  125.59 
100002748,  36.65 ,  16.76 
100002749,  33.16 ,  23.18 
100002750,  28.14 ,  21.65 
100002751,  27.71 ,  22.64 
100002752,  26.03 ,  23.32 
100002753,  56.18 ,  43.21 
100002754,  149.41 ,  54.70 
100002756,  64.11 ,  37.94 
100002757,  17.97 ,  13.55 
100002758,  15.66 ,  15.66 
100002760,  34.71 ,  27.32 
100002761,  38.47 ,  29.59 
100002762,  45.59 ,  40.84 
100002763,  39.43 ,  35.32 
100002764,  27.37 ,  17.93 
100002765,  50.54 ,  34.08 
100002766,  21.57 ,  20.20 
100002767,  53.84 ,  41.42 
100002768,  25.43 ,  23.09 
100002769,  92.93 ,  71.49 
100002770,  61.48 ,  47.29 
100002771,  27.37 ,  25.04 
100002772,  141.86 ,  127.07 
100002773,  28.33 ,  14.35 
100002774,  27.37 ,  19.51 
100002777,  22.36 ,  13.28 
100002778,  50.67 ,  45.39 
100002780,  49.30 ,  44.15 
100002782,  62.78 ,  48.29 
100002783,  27.37 ,  26.05 
100002784,  86.09 ,  66.23 
100002785,  24.55 ,  16.27 
100002786,  44.34 ,  26.10 
100002787,  32.20 ,  15.41 
100002788,  60.19 ,  29.67 
100002789,  88.19 ,  43.65 
100002791,  42.81 ,  28.24 
100002792,  62.12 ,  42.91 
100002795,  25.11 ,  22.49 
100002796,  30.05 ,  16.73 
100002797,  55.33 ,  35.60 
100002798,  17.42 ,  9.16 
100002799,  25.43 ,  17.30 
100002800,  45.92 ,  35.32 
100002801,  37.74 ,  36.43 
100002802,  50.93 ,  35.99 
100002803,  79.48 ,  71.19 
100002804,  170.39 ,  131.07 
100002805,  21.15 ,  15.73 
100002807,  24.47 ,  21.73 
100002809,  32.11 ,  24.70 
100002810,  24.47 ,  17.62 
100002811,  44.74 ,  35.99 
100002812,  85.29 ,  73.08 
100002813,  59.72 ,  40.02 
100002817,  25.43 ,  23.00 
100002818,  92.85 ,  71.42 
100002819,  124.28 ,  95.60 
100002820,  23.51 ,  14.16 
100002821,  43.23 ,  37.74 
100002822,  35.36 ,  33.91 
100002823,  65.93 ,  59.55 
100002824,  97.47 ,  89.32 
100002828,  27.71 ,  26.08 
100002829,  37.74 ,  37.74 
100002830,  93.27 ,  71.74 
100002832,  28.70 ,  22.08 
100002833,  44.66 ,  40.01 
100002834,  24.47 ,  24.47 
100002835,  41.85 ,  41.85 
100002837,  59.22 ,  51.19 
100002838,  42.81 ,  38.36 
100002839,  24.93 ,  19.18 
100002840,  48.73 ,  32.56 
100002841,  26.75 ,  17.32 
100002842,  45.60 ,  24.06 
100002845,  30.05 ,  20.34 
100002846,  55.33 ,  33.66 
100002847,  77.30 ,  43.87 
100002848,  37.74 ,  24.70 
100002849,  21.26 ,  15.00 
100002850,  46.53 ,  41.39 
100002851,  18.89 ,  16.92 
100002852,  27.20 ,  24.37 
100002853,  54.41 ,  48.73 
100002855,  13.37 ,  12.97 
100002856,  29.88 ,  22.99 
100002857,  9.51 ,  9.51 
100002858,  19.73 ,  15.18 
100002862,  40.05 ,  35.87 
100002863,  23.32 ,  17.94 
100002864,  60.07 ,  53.81 
100002866,  60.94 ,  56.15 
100002869,  80.48 ,  63.33 
100002870,  36.65 ,  28.84 
100002871,  82.18 ,  65.54 
100002880,  21.52 ,  16.56 
100002881,  13.85 ,  11.44 
100002882,  36.05 ,  29.53 
100002883,  31.65 ,  24.91 
100002884,  66.27 ,  52.15 
100002885,  39.45 ,  31.04 
100002886,  60.19 ,  42.08 
100002887,  107.62 ,  82.78 
100002888,  67.41 ,  28.28 
100002889,  46.53 ,  20.94 
100002890,  88.29 ,  36.63 
100002892,  44.84 ,  34.49 
100002893,  89.68 ,  68.99 
100002894,  136.63 ,  78.64 
100002895,  91.48 ,  91.48 
100002896,  113.97 ,  89.68 
100002897,  28.67 ,  21.03 
100002899,  35.09 ,  29.06 
100002900,  65.98 ,  58.11 
100002901,  158.66 ,  145.28 
100002902,  64.03 ,  57.35 
100002905,  35.51 ,  27.32 
100002907,  69.78 ,  54.91 
100002909,  107.82 ,  96.58 
100002910,  161.74 ,  144.87 
100002911,  40.32 ,  31.73 
100002913,  76.62 ,  60.29 
100002917,  55.45 ,  49.67 
100002918,  26.86 ,  20.86 
100002921,  32.97 ,  25.94 
100002922,  61.74 ,  52.99 
100002923,  90.50 ,  80.03 
100002925,  58.26 ,  33.11 
100002926,  34.19 ,  30.63 
100002927,  33.16 ,  24.56 
100002928,  47.63 ,  36.84 
100002930,  19.90 ,  18.80 
100002931,  22.26 ,  22.26 
100002934,  33.34 ,  23.04 
100002935,  39.45 ,  31.04 
100002936,  33.16 ,  22.77 
100002937,  34.66 ,  31.04 
100002938,  69.31 ,  62.09 
100002942,  48.52 ,  43.46 
100002944,  203.38 ,  160.05 
100002945,  21.26 ,  14.12 
100002946,  43.23 ,  34.77 
100002947,  39.75 ,  35.60 
100002948,  158.96 ,  142.39 
100002949,  79.48 ,  71.19 
100002952,  55.33 ,  25.52 
100002953,  30.05 ,  19.18 
100002954,  26.75 ,  15.29 
100002955,  49.38 ,  44.43 
100002962,  58.23 ,  52.15 
100002963,  40.34 ,  31.03 
100002964,  69.29 ,  62.06 
100002965,  21.52 ,  16.56 
100002966,  33.41 ,  29.93 
100002969,  96.87 ,  25.94 
100002970,  143.21 ,  37.67 
100002971,  33.16 ,  28.28 
100002972,  44.19 ,  39.58 
100002973,  43.83 ,  34.49 
100002974,  69.78 ,  54.91 
100002976,  45.43 ,  36.23 
100002978,  59.61 ,  53.39 
100002980,  89.41 ,  80.09 
100002984,  36.05 ,  34.30 
100002985,  36.82 ,  28.97 
100002986,  37.67 ,  28.97 
100002987,  73.64 ,  57.95 
100002988,  32.29 ,  24.83 
100002989,  55.45 ,  49.67 
100002991,  27.85 ,  20.97 
100002992,  50.93 ,  43.87 
100002993,  34.66 ,  27.28 
100002995,  54.40 ,  45.12 
100002996,  39.45 ,  31.04 
100002997,  69.31 ,  62.09 
100002998,  36.74 ,  28.26 
100002999,  64.33 ,  57.62 
100003000,  27.84 ,  21.42 
100003001,  49.05 ,  43.94 
100003002,  31.15 ,  17.11 
100003005,  36.10 ,  29.80 
100003006,  30.22 ,  19.04 
100003007,  39.94 ,  33.10 
100003008,  31.15 ,  20.99 
100003009,  48.73 ,  24.14 
100003011,  39.64 ,  30.49 
100003012,  31.15 ,  15.66 
100003013,  57.53 ,  23.35 
100003014,  20.37 ,  20.14 
100003016,  49.09 ,  38.63 
100003019,  31.22 ,  24.83 
100003020,  19.73 ,  15.18 
100003022,  83.19 ,  74.50 
100003024,  60.73 ,  60.43 
100003025,  26.75 ,  23.89 
100003028,  41.56 ,  22.08 
100003029,  49.09 ,  38.63 
100003032,  60.07 ,  53.81 
100003033,  120.14 ,  107.62 
100003034,  23.37 ,  17.98 
100003035,  41.46 ,  37.13 
100003040,  42.98 ,  37.53 
100003042,  56.19 ,  50.33 
100003043,  99.78 ,  89.38 
100003044,  30.58 ,  23.52 
100003046,  89.68 ,  70.57 
100003047,  38.04 ,  34.08 
100003050,  67.85 ,  53.39 
100003051,  101.78 ,  80.09 
100003052,  52.88 ,  40.67 
100003057,  74.86 ,  67.05 
100003058,  35.42 ,  31.73 
100003059,  70.86 ,  63.47 
100003060,  106.28 ,  95.20 
100003061,  32.77 ,  25.78 
100003062,  35.26 ,  21.25 
100003064,  31.39 ,  24.14 
100003065,  63.29 ,  26.41 
100003069,  38.04 ,  29.94 
100003070,  53.30 ,  41.94 
100003071,  37.67 ,  28.97 
100003072,  54.35 ,  42.77 
100003076,  28.53 ,  28.53 
100003077,  39.91 ,  38.36 
100003078,  22.66 ,  21.64 
100003079,  59.30 ,  53.12 
100003080,  23.51 ,  16.56 
100003084,  36.31 ,  25.39 
100003086,  67.84 ,  51.88 
100003087,  22.66 ,  13.66 
100003088,  31.91 ,  22.08 
100003089,  59.60 ,  45.26 
100003090,  87.30 ,  68.44 
100003091,  10.21 ,  7.02 
100003092,  15.74 ,  15.22 
100003093,  36.97 ,  28.44 
100003095,  32.10 ,  23.29 
100003096,  45.77 ,  35.49 
100003097,  17.13 ,  13.58 
100003098,  42.98 ,  38.66 
100003099,  30.05 ,  26.46 
100003100,  32.82 ,  21.94 
100003103,  36.52 ,  35.18 
100003104,  59.87 ,  46.05 
100003106,  15.28 ,  12.43 
100003107,  32.99 ,  29.55 
100003109,  28.33 ,  25.81 
100003110,  85.35 ,  76.45 
100003111,  76.61 ,  64.36 
100003112,  18.05 ,  16.87 
100003113,  45.57 ,  34.42 
100003114,  68.97 ,  52.18 
100003115,  40.88 ,  29.58 
100003116,  58.26 ,  42.34 
100003117,  77.56 ,  57.42 
100003119,  41.13 ,  30.20 
100003121,  58.26 ,  48.77 
100003122,  55.90 ,  42.34 
100003123,  33.16 ,  19.32 
100003124,  27.17 ,  15.59 
100003125,  33.16 ,  23.46 
100003127,  52.46 ,  40.36 
100003128,  25.43 ,  14.88 
100003129,  46.68 ,  26.63 
100003130,  22.24 ,  17.10 
100003131,  45.57 ,  35.05 
100003132,  68.97 ,  53.07 
100003135,  23.51 ,  16.78 
100003138,  21.74 ,  13.95 
100003139,  31.91 ,  30.16 
100003141,  32.49 ,  30.25 
100003142,  46.82 ,  44.58 
100003143,  50.54 ,  43.93 
100003144,  35.54 ,  24.51 
100003146,  16.86 ,  15.33 
100003147,  36.94 ,  32.84 
100003148,  27.37 ,  14.19 
100003153,  41.08 ,  34.31 
100003154,  31.22 ,  23.66 
100003158,  38.88 ,  29.90 
100003159,  20.82 ,  17.32 
100003160,  37.44 ,  35.37 
100003161,  27.28 ,  15.73 
100003162,  50.37 ,  32.01 
100003166,  46.82 ,  41.94 
100003167,  46.82 ,  41.94 
100003168,  30.98 ,  27.98 
100003169,  40.20 ,  30.67 
100003173,  138.51 ,  47.88 
100003174,  49.57 ,  37.25 
100003175,  55.11 ,  42.39 
100003176,  19.31 ,  17.29 
100003177,  39.41 ,  35.30 
100003178,  33.83 ,  26.02 
100003180,  31.75 ,  24.42 
100003182,  33.18 ,  25.52 
100003183,  48.37 ,  43.32 
100003184,  73.45 ,  72.43 
100003185,  70.82 ,  63.44 
100003186,  25.43 ,  15.51 
100003187,  37.74 ,  31.28 
100003189,  59.72 ,  52.98 
100003192,  42.35 ,  32.57 
100003193,  64.35 ,  60.98 
100003195,  50.93 ,  38.41 
100003196,  37.02 ,  17.40 
100003197,  69.84 ,  35.52 
100003198,  102.67 ,  53.84 
100003199,  25.43 ,  15.18 
100003200,  20.17 ,  17.90 
100003201,  35.54 ,  35.32 
100003202,  54.22 ,  30.79 
100003203,  34.45 ,  21.78 
100003204,  46.83 ,  41.94 
100003207,  70.13 ,  55.19 
100003209,  23.66 ,  18.20 
100003211,  50.54 ,  40.98 
100003212,  19.64 ,  15.95 
100003213,  35.09 ,  32.48 
100003214,  15.97 ,  13.75 
100003215,  27.75 ,  27.32 
100003217,  33.34 ,  32.22 
100003223,  37.02 ,  33.15 
100003225,  30.05 ,  24.83 
100003226,  26.40 ,  24.83 
100003227,  9.02 ,  7.10 
100003228,  19.64 ,  15.45 
100003229,  50.54 ,  47.68 
100003230,  35.09 ,  31.42 
100003231,  39.94 ,  32.17 
100003234,  46.06 ,  41.25 
