Z,Regular price,Sale price
100005245,  21.48 ,  20.53 
100005246,  32.20 ,  28.84 
100005247,  32.11 ,  24.70 
100005248,  57.79 ,  44.45 
100005250,  31.22 ,  27.97 
100005251,  28.54 ,  25.11 
100005252,  31.91 ,  29.31 
100005253,  50.17 ,  44.94 
100005254,  44.50 ,  28.70 
100005255,  40.29 ,  39.43 
100005256,  66.31 ,  53.01 
100005257,  46.68 ,  38.08 
100005258,  34.12 ,  33.22 
100005259,  19.69 ,  15.15 
100005260,  62.12 ,  33.39 
100005261,  177.96 ,  85.14 
100005262,  50.83 ,  45.53 
100005263,  100.73 ,  70.23 
100005264,  33.16 ,  22.31 
100005265,  25.92 ,  21.65 
100005266,  47.63 ,  41.57 
100005267,  47.63 ,  33.80 
100005268,  197.27 ,  158.85 
100005269,  57.29 ,  28.44 
100005271,  70.81 ,  35.73 
100005272,  33.29 ,  25.61 
100005273,  22.66 ,  21.92 
100005274,  47.63 ,  30.08 
100005276,  56.80 ,  44.70 
100005278,  25.92 ,  12.89 
100005279,  47.63 ,  30.08 
100005280,  25.92 ,  12.89 
100005281,  47.63 ,  30.08 
100005282,  80.10 ,  71.74 
100005283,  160.19 ,  143.49 
100005284,  31.22 ,  25.39 
100005285,  37.31 ,  28.70 
100005286,  31.22 ,  26.61 
100005287,  59.37 ,  45.67 
100005288,  60.27 ,  46.36 
100005290,  27.37 ,  24.83 
100005291,  27.37 ,  26.49 
100005292,  27.37 ,  23.62 
100005293,  31.22 ,  30.77 
100005294,  27.37 ,  22.71 
100005295,  27.37 ,  26.49 
100005296,  39.34 ,  30.26 
100005297,  35.09 ,  32.42 
100005298,  25.43 ,  19.94 
100005300,  30.26 ,  18.23 
100005301,  75.63 ,  50.86 
100005302,  25.43 ,  17.25 
100005303,  23.51 ,  13.91 
100005304,  62.12 ,  42.99 
100005305,  120.04 ,  86.93 
100005306,  28.33 ,  18.71 
100005307,  23.51 ,  13.98 
100005310,  37.99 ,  21.98 
100005311,  71.78 ,  41.89 
100005313,  62.12 ,  41.25 
100005314,  65.98 ,  38.15 
100005315,  35.09 ,  21.00 
100005316,  48.61 ,  39.83 
100005317,  27.37 ,  15.93 
100005318,  58.26 ,  37.67 
100005319,  12.88 ,  7.65 
100005320,  21.57 ,  15.29 
100005321,  73.70 ,  67.05 
100005322,  67.92 ,  48.06 
100005323,  64.05 ,  57.09 
100005324,  81.43 ,  54.83 
100005325,  87.21 ,  60.78 
100005327,  66.95 ,  35.82 
100005328,  11.44 ,  11.44 
100005330,  86.25 ,  49.53 
100005331,  46.68 ,  24.20 
100005332,  89.15 ,  46.62 
100005333,  35.09 ,  30.22 
100005335,  43.78 ,  33.97 
100005336,  54.40 ,  31.54 
100005337,  54.40 ,  27.59 
100005338,  57.29 ,  36.25 
100005339,  33.34 ,  20.71 
100005340,  61.91 ,  35.78 
100005341,  33.34 ,  20.17 
100005343,  21.26 ,  14.66 
100005344,  26.75 ,  17.97 
100005345,  37.74 ,  25.11 
100005346,  70.71 ,  46.51 
100005347,  103.67 ,  68.72 
100005348,  69.29 ,  62.07 
100005349,  47.63 ,  31.40 
100005350,  76.61 ,  49.39 
100005351,  36.65 ,  23.40 
100005353,  27.37 ,  16.92 
100005354,  50.54 ,  29.51 
100005355,  27.37 ,  22.63 
100005356,  50.54 ,  43.18 
100005357,  35.54 ,  28.97 
100005358,  33.34 ,  24.49 
100005359,  35.54 ,  23.18 
100005360,  105.56 ,  56.85 
100005362,  21.57 ,  11.00 
100005363,  56.32 ,  32.99 
100005364,  24.35 ,  22.08 
100005366,  24.47 ,  15.28 
100005367,  44.74 ,  29.03 
100005368,  110.26 ,  49.67 
100005369,  21.57 ,  12.27 
100005370,  38.95 ,  24.73 
100005374,  246.53 ,  226.55 
100005375,  157.80 ,  124.17 
100005380,  57.53 ,  47.60 
100005386,  158.62 ,  136.59 
100005389,  64.64 ,  60.29 
100005394,  71.78 ,  23.87 
100005395,  37.74 ,  25.87 
100005396,  33.90 ,  26.08 
100005397,  26.02 ,  16.20 
100005398,  106.83 ,  82.18 
100005399,  33.44 ,  20.07 
100005400,  48.73 ,  21.26 
100005402,  75.48 ,  52.43 
100005403,  32.74 ,  22.23 
100005404,  97.08 ,  65.21 
100005405,  24.55 ,  23.07 
100005408,  114.66 ,  38.49 
100005409,  30.44 ,  23.95 
100005411,  96.87 ,  62.02 
100005412,  96.87 ,  62.02 
100005413,  75.48 ,  27.44 
100005414,  31.91 ,  16.78 
100005415,  59.60 ,  30.35 
100005416,  75.10 ,  41.52 
100005418,  69.75 ,  31.14 
100005419,  36.81 ,  32.98 
100005420,  70.62 ,  63.26 
100005421,  136.63 ,  73.32 
100005423,  35.36 ,  27.20 
100005426,  24.47 ,  18.86 
100005427,  19.31 ,  18.86 
100005428,  31.15 ,  30.14 
100005429,  64.11 ,  43.05 
100005430,  28.10 ,  25.17 
100005431,  30.34 ,  23.34 
100005432,  28.10 ,  25.17 
100005434,  19.06 ,  11.59 
100005435,  19.06 ,  14.26 
100005439,  23.51 ,  16.61 
100005440,  42.81 ,  31.10 
100005442,  24.78 ,  21.86 
100005443,  10.49 ,  10.49 
100005445,  27.37 ,  21.42 
100005446,  50.54 ,  43.94 
100005447,  15.26 ,  13.42 
100005448,  20.17 ,  13.70 
100005450,  38.22 ,  30.08 
100005451,  33.36 ,  25.66 
100005452,  41.70 ,  23.24 
100005454,  8.36 ,  8.36 
100005455,  23.14 ,  17.80 
100005456,  39.75 ,  35.60 
