SKU,Regular price,Sale price
100002103,  62.12 ,  44.08 
100002104,  21.83 ,  14.27 
100002105,  32.25 ,  24.81 
100002106,  19.90 ,  16.56 
100002107,  20.62 ,  16.56 
100002108,  35.60 ,  29.55 
100002109,  67.31 ,  60.29 
100002110,  18.07 ,  18.07 
100002111,  31.91 ,  24.79 
100002112,  59.60 ,  50.03 
100002113,  87.30 ,  75.04 
100002114,  31.06 ,  16.56 
100002115,  57.33 ,  33.11 
100002116,  35.88 ,  27.60 
100002117,  30.80 ,  27.59 
100002118,  73.19 ,  56.30 
100002119,  12.88 ,  12.88 
100002120,  28.70 ,  22.08 
100002121,  46.99 ,  42.08 
100002122,  86.09 ,  66.23 
100002123,  67.77 ,  60.71 
100002124,  23.46 ,  20.81 
100002125,  69.68 ,  40.09 
100002126,  110.91 ,  99.34 
100002127,  38.95 ,  29.80 
100002128,  51.23 ,  39.40 
100002129,  77.86 ,  61.27 
100002130,  73.64 ,  57.95 
100002132,  41.13 ,  29.87 
100002133,  18.05 ,  16.30 
100002134,  105.88 ,  81.45 
100002135,  84.69 ,  65.15 
100002136,  18.05 ,  16.05 
100002137,  42.48 ,  32.68 
100002138,  64.43 ,  49.56 
100002139,  24.55 ,  22.11 
100002140,  34.19 ,  30.63 
100002141,  143.31 ,  110.24 
100002142,  43.05 ,  33.11 
100002143,  12.33 ,  11.58 
100002144,  49.30 ,  44.15 
100002145,  9.56 ,  9.56 
100002146,  41.56 ,  24.72 
100002147,  78.36 ,  47.19 
100002148,  115.14 ,  70.78 
100002149,  23.59 ,  21.17 
100002150,  13.46 ,  13.46 
100002151,  53.80 ,  42.34 
100002152,  89.14 ,  70.14 
100002153,  22.93 ,  20.07 
100002155,  43.90 ,  37.71 
100002156,  83.62 ,  75.43 
100002157,  18.88 ,  16.68 
100002158,  33.56 ,  29.32 
100002159,  37.43 ,  33.53 
100002160,  43.90 ,  39.32 
100002161,  82.76 ,  65.12 
100002162,  46.53 ,  37.22 
100002163,  31.15 ,  22.47 
100002164,  26.07 ,  21.63 
100002165,  67.31 ,  60.29 
100002166,  24.51 ,  17.80 
100002167,  46.68 ,  31.75 
100002168,  67.92 ,  39.87 
100002170,  25.60 ,  22.41 
100002171,  35.09 ,  27.14 
100002172,  127.77 ,  108.56 
100002173,  126.29 ,  92.57 
100002174,  81.43 ,  59.19 
100002175,  23.46 ,  13.13 
100002176,  42.14 ,  24.48 
100002177,  79.50 ,  45.41 
100002178,  57.53 ,  35.73 
100002179,  28.33 ,  13.37 
100002180,  52.46 ,  27.05 
100002181,  27.37 ,  19.67 
100002182,  50.54 ,  37.28 
100002185,  33.15 ,  25.50 
100002187,  105.20 ,  94.23 
100002188,  33.44 ,  18.62 
100002189,  28.33 ,  27.15 
100002190,  26.35 ,  19.82 
100002191,  48.52 ,  40.62 
100002192,  9.02 ,  7.10 
100002193,  25.55 ,  20.56 
100002194,  46.31 ,  41.12 
100002195,  67.09 ,  61.67 
100002196,  51.50 ,  36.96 
100002197,  15.79 ,  15.49 
100002198,  77.30 ,  51.90 
100002199,  48.73 ,  30.35 
100002200,  70.71 ,  52.43 
100002201,  29.11 ,  26.08 
100002202,  25.97 ,  19.97 
100002203,  24.96 ,  22.35 
100002204,  34.08 ,  26.21 
100002206,  40.88 ,  24.70 
100002208,  32.20 ,  26.98 
100002210,  32.20 ,  14.04 
100002212,  47.01 ,  43.74 
100002213,  68.83 ,  61.65 
100002214,  31.15 ,  26.49 
100002215,  31.15 ,  28.70 
100002216,  30.93 ,  28.15 
100002217,  54.38 ,  44.82 
100002218,  19.02 ,  18.56 
100002219,  61.74 ,  55.30 
100002220,  36.67 ,  28.21 
100002221,  96.74 ,  86.66 
100002222,  64.08 ,  57.40 
100002223,  41.04 ,  27.75 
100002224,  52.02 ,  45.53 
100002226,  53.63 ,  41.25 
100002227,  28.95 ,  21.15 
100002228,  53.13 ,  43.20 
100002229,  25.19 ,  21.94 
100002230,  25.43 ,  23.18 
100002231,  36.65 ,  28.73 
100002232,  68.51 ,  60.65 
100002233,  38.99 ,  30.69 
100002234,  47.78 ,  34.89 
100002235,  58.53 ,  52.43 
100002236,  29.10 ,  29.10 
100002237,  134.01 ,  120.03 
100002238,  39.82 ,  30.63 
100002239,  68.88 ,  52.98 
100002240,  103.31 ,  79.47 
100002241,  39.89 ,  35.73 
100002242,  24.47 ,  13.66 
100002243,  44.74 ,  27.32 
100002244,  20.30 ,  15.62 
100002245,  35.46 ,  31.77 
100002246,  53.82 ,  48.21 
100002247,  33.15 ,  29.69 
100002248,  32.25 ,  20.38 
100002249,  48.73 ,  46.22 
100002250,  66.69 ,  59.74 
100002251,  172.23 ,  154.71 
100002252,  24.65 ,  19.40 
100002253,  76.45 ,  60.16 
100002254,  50.50 ,  39.74 
100002255,  28.40 ,  21.85 
100002256,  58.23 ,  44.80 
100002257,  55.76 ,  49.95 
100002258,  115.52 ,  103.48 
100002259,  31.53 ,  26.48 
100002260,  32.35 ,  28.97 
100002261,  30.29 ,  23.30 
100002262,  43.23 ,  28.84 
100002263,  21.26 ,  18.51 
100002264,  12.98 ,  12.89 
100002265,  51.48 ,  39.60 
100002266,  37.97 ,  29.21 
100002267,  21.72 ,  16.71 
100002269,  27.85 ,  15.54 
100002270,  20.54 ,  20.54 
100002271,  25.43 ,  24.23 
100002272,  30.05 ,  24.49 
100002273,  136.31 ,  66.09 
100002274,  104.49 ,  82.23 
100002275,  33.16 ,  19.18 
100002276,  18.68 ,  11.49 
100002277,  62.12 ,  38.36 
100002278,  23.51 ,  18.09 
100002279,  42.48 ,  38.05 
100002280,  20.63 ,  15.87 
100002281,  18.95 ,  13.56 
100002282,  47.31 ,  29.47 
100002283,  33.13 ,  21.79 
100002284,  33.16 ,  24.70 
100002285,  21.26 ,  10.64 
100002286,  37.74 ,  21.17 
100002287,  22.54 ,  17.60 
100002288,  40.88 ,  35.19 
100002289,  47.85 ,  40.98 
100002290,  29.59 ,  29.59 
100002291,  33.72 ,  25.94 
100002292,  33.81 ,  26.61 
100002293,  49.77 ,  38.28 
100002294,  44.72 ,  35.73 
100002295,  45.77 ,  31.46 
100002296,  25.19 ,  21.37 
100002297,  47.01 ,  40.67 
100002298,  15.74 ,  12.42 
100002299,  23.60 ,  18.16 
100002300,  43.34 ,  38.82 
100002301,  20.17 ,  14.13 
100002302,  35.36 ,  23.91 
100002303,  50.93 ,  29.24 
100002304,  41.13 ,  28.75 
100002305,  78.07 ,  58.59 
100002306,  115.00 ,  88.44 
100002307,  93.96 ,  84.16 
100002308,  32.25 ,  26.10 
100002309,  23.89 ,  18.15 
100002310,  25.69 ,  24.14 
100002311,  30.68 ,  24.14 
100002312,  75.01 ,  67.19 
100002313,  5.12 ,  5.12 
100002314,  115.00 ,  8.83 
100002315,  96.54 ,  8.15 
100002316,  78.07 ,  7.36 
100002317,  22.66 ,  13.80 
100002318,  5.24 ,  5.12 
100002319,  36.31 ,  23.73 
100002320,  67.84 ,  48.57 
100002321,  99.37 ,  73.41 
100002322,  36.31 ,  20.70 
100002323,  67.84 ,  41.39 
100002324,  30.68 ,  24.14 
100002325,  25.69 ,  24.14 
100002326,  27.80 ,  25.66 
100002327,  54.71 ,  43.05 
100002328,  25.80 ,  13.71 
100002329,  88.86 ,  43.46 
100002330,  31.06 ,  22.25 
100002331,  32.25 ,  22.05 
100002332,  32.25 ,  22.05 
100002333,  33.31 ,  26.21 
100002334,  43.83 ,  34.49 
100002335,  18.05 ,  7.69 
100002336,  12.59 ,  12.59 
100002337,  26.90 ,  20.70 
100002338,  35.06 ,  27.59 
100002339,  117.76 ,  92.67 
100002340,  47.63 ,  27.76 
100002341,  69.06 ,  41.64 
100002342,  30.05 ,  26.90 
100002343,  30.22 ,  21.25 
100002344,  56.69 ,  43.60 
100002345,  85.75 ,  65.96 
100002347,  36.31 ,  23.69 
100002348,  31.91 ,  31.91 
100002349,  22.66 ,  18.25 
100002350,  22.66 ,  13.80 
100002351,  7.89 ,  6.49 
100002352,  26.35 ,  19.45 
100002353,  15.94 ,  12.59 
100002354,  26.35 ,  24.14 
100002355,  17.12 ,  14.96 
100002356,  15.94 ,  2.82 
100002357,  10.65 ,  9.18 
100002358,  58.47 ,  42.14 
100002359,  95.80 ,  73.69 
100002360,  22.66 ,  11.58 
100002361,  41.13 ,  22.08 
100002362,  81.43 ,  47.30 
100002363,  42.81 ,  27.20 
100002364,  75.64 ,  39.82 
100002365,  25.38 ,  20.95 
100002366,  35.68 ,  31.98 
100002367,  18.85 ,  16.32 
100002368,  33.44 ,  30.63 
100002369,  67.31 ,  67.29 
100002370,  51.69 ,  37.84 
100002371,  123.85 ,  110.94 
100002372,  35.74 ,  32.01 
100002373,  5.87 ,  5.87 
100002374,  61.37 ,  48.29 
100002375,  114.87 ,  72.46 
100002377,  48.21 ,  37.94 
100002378,  352.10 ,  277.08 
100002379,  53.91 ,  48.29 
100002380,  67.84 ,  41.25 
100002381,  25.80 ,  20.54 
100002382,  67.84 ,  63.77 
100002383,  61.52 ,  39.58 
100002384,  31.91 ,  16.21 
100002385,  59.60 ,  28.33 
100002386,  52.46 ,  27.46 
100002387,  93.96 ,  84.16 
100002388,  53.81 ,  41.39 
100002389,  107.62 ,  82.78 
100002390,  41.13 ,  24.83 
100002391,  78.07 ,  49.67 
100002392,  115.00 ,  74.50 
100002393,  31.91 ,  15.04 
100002394,  20.82 ,  20.56 
100002395,  53.45 ,  41.12 
100002396,  80.17 ,  61.67 
100002397,  27.70 ,  24.14 
100002398,  12.88 ,  10.28 
100002399,  9.81 ,  9.71 
100002400,  13.43 ,  13.43 
100002401,  23.51 ,  14.43 
100002402,  42.81 ,  26.90 
100002403,  23.51 ,  16.89 
100002404,  5.12 ,  5.09 
100002405,  26.19 ,  23.46 
100002406,  31.43 ,  28.15 
100002407,  20.95 ,  18.76 
100002408,  19.31 ,  18.54 
100002409,  26.75 ,  19.32 
100002410,  37.88 ,  29.81 
100002411,  48.73 ,  29.69 
