SKU,Regular price,Sale price
100000529,  16.06 ,  16.06 
100000530,  40.54 ,  31.90 
100000531,  24.34 ,  21.80 
100000532,  36.51 ,  32.70 
100000533,  15.79 ,  13.78 
100000534,  70.74 ,  56.92 
100000535,  21.57 ,  19.40 
100000536,  51.66 ,  39.74 
100000537,  131.31 ,  101.01 
100000538,  103.67 ,  73.26 
100000539,  18.12 ,  13.94 
100000541,  50.53 ,  45.26 
100000543,  25.43 ,  20.81 
100000544,  46.68 ,  42.61 
100000545,  15.79 ,  15.73 
100000546,  35.74 ,  32.01 
100000547,  15.79 ,  11.45 
100000548,  28.95 ,  17.47 
100000549,  77.30 ,  52.40 
100000550,  14.63 ,  11.61 
100000551,  32.78 ,  23.27 
100000552,  49.79 ,  35.46 
100000553,  21.65 ,  19.39 
100000554,  39.66 ,  30.51 
100000555,  32.65 ,  29.25 
100000556,  60.38 ,  54.08 
100000557,  19.31 ,  14.38 
100000558,  35.26 ,  28.75 
100000559,  18.87 ,  18.87 
100000560,  32.95 ,  32.95 
100000561,  28.75 ,  22.11 
100000562,  49.38 ,  44.23 
100000563,  27.93 ,  25.01 
100000564,  55.85 ,  50.03 
100000565,  167.54 ,  150.07 
100000566,  57.95 ,  45.26 
100000567,  28.36 ,  22.08 
100000568,  87.54 ,  75.69 
100000569,  37.74 ,  35.48 
100000570,  72.61 ,  62.27 
100000571,  55.43 ,  43.63 
100000572,  88.23 ,  80.91 
100000573,  37.02 ,  18.97 
100000574,  69.84 ,  38.84 
100000575,  102.67 ,  58.80 
100000576,  22.54 ,  21.75 
100000577,  22.36 ,  17.02 
100000578,  48.09 ,  37.84 
100000579,  96.18 ,  75.69 
100000581,  73.32 ,  65.67 
100000582,  18.91 ,  18.89 
100000583,  33.62 ,  32.17 
100000584,  47.16 ,  42.18 
100000585,  166.35 ,  149.01 
100000587,  68.74 ,  43.59 
100000588,  66.63 ,  52.43 
100000589,  112.21 ,  88.30 
100000590,  15.94 ,  9.23 
100000592,  86.75 ,  77.71 
100000593,  23.51 ,  15.73 
100000594,  15.98 ,  11.00 
100000595,  33.16 ,  19.17 
100000596,  43.23 ,  31.52 
100000597,  41.47 ,  32.63 
100000598,  48.73 ,  43.46 
100000599,  23.51 ,  20.70 
100000600,  5.06 ,  5.06 
100000601,  42.81 ,  41.39 
100000602,  57.09 ,  56.80 
100000603,  32.37 ,  24.90 
100000604,  22.42 ,  17.25 
100000605,  36.97 ,  33.11 
100000606,  23.51 ,  11.13 
100000607,  42.81 ,  21.04 
100000608,  23.51 ,  23.32 
100000609,  33.16 ,  20.62 
100000610,  91.08 ,  57.74 
100000611,  81.43 ,  7.24 
100000612,  62.12 ,  6.52 
100000613,  100.73 ,  8.00 
100000614,  20.17 ,  20.17 
100000615,  23.51 ,  13.85 
100000616,  5.06 ,  5.06 
100000617,  43.23 ,  43.23 
100000618,  24.32 ,  23.43 
100000619,  52.60 ,  41.39 
100000621,  32.11 ,  24.70 
100000622,  18.68 ,  11.14 
100000623,  26.74 ,  20.57 
100000624,  37.99 ,  12.24 
100000625,  28.20 ,  21.69 
100000626,  48.43 ,  43.38 
100000627,  85.03 ,  66.92 
100000628,  156.70 ,  52.32 
100000629,  426.16 ,  132.00 
100000630,  291.43 ,  89.74 
100000631,  42.81 ,  25.66 
100000632,  9.89 ,  5.03 
100000633,  21.29 ,  13.50 
100000634,  38.37 ,  27.31 
100000635,  15.79 ,  10.88 
100000636,  27.37 ,  21.76 
100000637,  29.30 ,  26.71 
100000639,  13.35 ,  13.35 
100000640,  41.03 ,  32.29 
100000641,  21.92 ,  21.92 
100000642,  11.83 ,  8.78 
100000643,  28.70 ,  22.08 
100000644,  49.95 ,  33.21 
100000645,  40.88 ,  14.50 
100000646,  79.96 ,  52.84 
100000647,  161.32 ,  105.68 
100000648,  320.16 ,  246.28 
100000649,  17.30 ,  12.63 
100000650,  164.15 ,  100.90 
100000651,  39.06 ,  37.89 
100000652,  33.16 ,  24.97 
100000653,  18.68 ,  13.19 
100000654,  196.37 ,  154.53 
100000655,  343.64 ,  270.42 
100000656,  611.89 ,  481.52 
100000657,  26.82 ,  25.52 
100000659,  23.51 ,  13.85 
100000660,  5.16 ,  5.04 
100000661,  42.81 ,  26.35 
100000662,  9.02 ,  8.45 
100000663,  26.90 ,  20.70 
100000664,  46.21 ,  41.39 
100000666,  378.70 ,  298.02 
100000667,  69.72 ,  61.41 
100000668,  22.66 ,  20.70 
100000669,  23.55 ,  19.29 
100000670,  202.55 ,  181.43 
100000671,  28.33 ,  13.68 
100000672,  26.40 ,  25.59 
100000673,  94.27 ,  84.44 
100000674,  24.47 ,  16.67 
100000675,  20.62 ,  13.34 
100000676,  137.02 ,  107.82 
100000677,  177.92 ,  140.01 
100000678,  85.10 ,  76.23 
100000679,  27.37 ,  24.14 
100000680,  21.57 ,  14.48 
100000682,  42.36 ,  37.94 
100000683,  77.02 ,  68.99 
100000684,  115.52 ,  103.48 
100000685,  39.82 ,  30.63 
100000686,  69.84 ,  35.04 
100000687,  37.02 ,  18.49 
100000688,  248.76 ,  222.82 
100000689,  137.48 ,  123.14 
100000692,  17.63 ,  15.97 
100000693,  26.96 ,  24.14 
100000694,  52.36 ,  46.91 
100000695,  154.81 ,  138.66 
100000696,  166.88 ,  131.32 
100000697,  189.35 ,  149.01 
100000698,  43.00 ,  31.32 
100000700,  31.75 ,  24.42 
100000701,  52.46 ,  44.00 
100000702,  116.85 ,  91.96 
100000705,  20.87 ,  20.87 
100000706,  51.34 ,  40.40 
100000707,  18.76 ,  18.76 
100000708,  12.12 ,  12.12 
100000709,  41.09 ,  32.34 
100000710,  12.34 ,  12.34 
100000711,  33.34 ,  22.74 
100000712,  15.66 ,  15.28 
100000713,  63.43 ,  48.79 
100000714,  24.47 ,  23.84 
100000715,  82.33 ,  73.74 
100000716,  27.37 ,  23.95 
100000717,  50.54 ,  49.01 
100000718,  96.29 ,  74.07 
100000719,  31.22 ,  24.77 
100000720,  73.70 ,  49.67 
100000721,  58.26 ,  53.72 
100000722,  47.87 ,  37.67 
100000723,  22.03 ,  20.12 
100000724,  71.80 ,  56.50 
100000725,  67.42 ,  51.86 
100000726,  32.99 ,  25.38 
100000727,  101.85 ,  78.34 
100000728,  43.47 ,  34.21 
100000730,  32.27 ,  24.82 
100000731,  57.40 ,  44.15 
100000732,  106.74 ,  95.61 
100000733,  134.44 ,  113.00 
100000734,  350.65 ,  275.94 
100000735,  57.70 ,  51.68 
100000736,  10.58 ,  9.48 
100000737,  129.32 ,  115.84 
100000738,  28.41 ,  21.86 
100000739,  50.03 ,  44.82 
100000740,  88.11 ,  67.78 
100000741,  19.62 ,  12.96 
100000742,  34.45 ,  20.60 
100000743,  28.33 ,  18.45 
100000744,  11.92 ,  9.43 
100000745,  63.07 ,  48.52 
100000746,  22.93 ,  19.04 
100000747,  41.65 ,  33.31 
100000748,  14.62 ,  12.42 
100000749,  19.78 ,  12.41 
100000750,  61.25 ,  38.07 
100000751,  40.43 ,  31.10 
100000752,  173.57 ,  136.59 
100000753,  173.57 ,  136.59 
100000754,  13.75 ,  11.40 
100000755,  23.31 ,  22.79 
100000756,  31.41 ,  24.16 
100000757,  29.58 ,  26.49 
100000758,  44.74 ,  32.84 
100000759,  24.47 ,  23.30 
100000760,  83.85 ,  64.50 
100000762,  61.15 ,  32.99 
100000764,  43.66 ,  34.35 
100000765,  37.99 ,  36.98 
100000766,  97.58 ,  75.06 
100000767,  30.49 ,  23.46 
100000768,  69.25 ,  61.00 
100000769,  22.93 ,  21.52 
100000770,  14.62 ,  12.09 
100000771,  35.47 ,  29.42 
100000772,  21.68 ,  16.67 
100000773,  44.20 ,  34.00 
100000774,  54.44 ,  48.76 
100000775,  54.76 ,  42.12 
100000776,  23.51 ,  13.85 
100000777,  62.12 ,  41.39 
100000778,  23.02 ,  13.37 
100000779,  17.97 ,  9.86 
100000780,  43.96 ,  28.56 
100000781,  84.08 ,  57.12 
100000782,  32.55 ,  25.04 
100000783,  33.16 ,  17.54 
100000784,  177.96 ,  105.22 
100000785,  13.90 ,  10.48 
100000786,  82.68 ,  65.06 
100000787,  40.63 ,  31.98 
100000788,  114.66 ,  64.52 
100000789,  19.11 ,  18.51 
