Z,Regular price,Sale price
100003374,  77.56 ,  68.16 
100003375,  37.31 ,  20.26 
100003376,  65.16 ,  58.36 
100003377,  44.74 ,  29.32 
100003378,  66.95 ,  45.88 
100003380,  34.45 ,  24.23 
100003381,  64.11 ,  49.56 
100003383,  62.12 ,  40.01 
100003384,  42.81 ,  19.31 
100003385,  81.43 ,  27.18 
100003386,  120.04 ,  39.74 
100003387,  22.36 ,  13.62 
100003389,  148.10 ,  55.30 
100003391,  31.93 ,  24.56 
100003393,  29.68 ,  26.59 
100003394,  48.58 ,  43.52 
100003396,  33.16 ,  25.17 
100003397,  14.27 ,  14.26 
100003398,  62.12 ,  51.44 
100003399,  25.43 ,  18.56 
100003400,  41.85 ,  25.38 
100003401,  37.02 ,  20.54 
100003402,  79.50 ,  51.86 
100003403,  29.71 ,  23.38 
100003404,  56.32 ,  44.32 
100003405,  31.22 ,  22.35 
100003406,  58.26 ,  44.70 
100003408,  24.55 ,  16.30 
100003409,  44.34 ,  32.59 
100003410,  35.09 ,  23.79 
100003411,  10.27 ,  5.91 
100003414,  37.02 ,  15.16 
100003415,  36.70 ,  28.23 
100003416,  25.53 ,  20.76 
100003421,  45.92 ,  35.32 
100003423,  46.09 ,  35.46 
100003424,  22.18 ,  19.87 
100003425,  35.27 ,  31.60 
100003426,  94.27 ,  84.44 
100003427,  26.02 ,  26.02 
100003428,  26.65 ,  25.16 
100003429,  21.15 ,  14.07 
100003431,  32.08 ,  25.25 
100003432,  23.41 ,  20.97 
100003433,  9.02 ,  9.02 
100003434,  16.94 ,  15.18 
100003435,  27.37 ,  24.83 
100003436,  34.08 ,  26.21 
100003438,  23.41 ,  20.97 
100003439,  9.02 ,  9.02 
100003440,  42.08 ,  33.11 
100003441,  84.15 ,  66.23 
100003442,  63.12 ,  49.67 
100003443,  32.04 ,  28.70 
100003445,  21.26 ,  14.19 
100003446,  37.74 ,  28.38 
100003447,  28.33 ,  23.46 
100003448,  50.37 ,  47.02 
100003449,  30.49 ,  23.46 
100003450,  52.36 ,  46.91 
100003451,  78.55 ,  70.37 
100003455,  71.39 ,  54.91 
100003456,  21.26 ,  21.26 
100003457,  14.81 ,  12.57 
100003458,  15.80 ,  12.15 
100003459,  25.43 ,  24.48 
100003461,  38.62 ,  34.77 
100003463,  19.06 ,  12.89 
100003465,  26.21 ,  19.34 
100003466,  49.09 ,  38.63 
100003470,  59.84 ,  47.09 
100003472,  21.57 ,  20.97 
100003473,  54.53 ,  41.94 
100003474,  9.99 ,  5.44 
100003475,  12.58 ,  10.28 
100003477,  25.11 ,  24.29 
100003478,  45.57 ,  40.80 
100003479,  42.14 ,  24.55 
100003480,  23.51 ,  16.79 
100003481,  42.81 ,  30.63 
100003484,  35.54 ,  25.31 
100003485,  27.71 ,  24.72 
100003486,  29.30 ,  21.99 
100003487,  51.60 ,  40.09 
100003490,  15.66 ,  14.49 
100003491,  69.61 ,  55.19 
100003492,  43.94 ,  33.80 
100003493,  31.22 ,  18.78 
100003494,  58.26 ,  37.56 
100003495,  26.55 ,  20.42 
100003497,  13.75 ,  9.73 
100003498,  32.87 ,  19.88 
100003499,  27.26 ,  24.42 
100003500,  47.30 ,  36.38 
100003501,  94.58 ,  72.75 
100003505,  44.74 ,  37.25 
100003506,  47.63 ,  29.57 
100003507,  133.34 ,  88.70 
100003509,  50.93 ,  30.56 
100003510,  34.45 ,  25.71 
100003511,  34.61 ,  29.89 
100003513,  19.58 ,  14.03 
100003514,  32.74 ,  25.43 
100003516,  75.79 ,  67.88 
100003517,  91.08 ,  36.83 
100003519,  36.69 ,  32.86 
100003520,  120.88 ,  83.33 
100003523,  30.58 ,  27.14 
100003524,  28.33 ,  21.89 
100003525,  139.35 ,  88.49 
100003526,  23.51 ,  18.88 
100003527,  42.81 ,  38.64 
100003528,  18.68 ,  18.68 
100003529,  112.14 ,  100.44 
100003530,  89.68 ,  68.99 
100003531,  45.58 ,  35.87 
100003533,  30.49 ,  23.46 
100003534,  57.53 ,  54.91 
100003535,  146.36 ,  112.58 
100003536,  61.15 ,  52.98 
100003537,  86.99 ,  66.92 
100003538,  62.12 ,  16.17 
100003540,  39.94 ,  25.35 
100003541,  34.45 ,  31.25 
100003542,  26.86 ,  24.02 
100003543,  47.01 ,  44.73 
100003549,  29.30 ,  22.73 
100003550,  54.40 ,  46.56 
100003551,  18.85 ,  18.85 
100003553,  31.50 ,  24.23 
100003555,  61.91 ,  37.94 
100003556,  50.43 ,  45.17 
100003559,  28.36 ,  21.81 
100003560,  24.22 ,  21.70 
